NMS Number Block: Number Block,Block Status,CP Name,Non Geo Number Length,Allocation Date
9000 00,Allocated,Vodafone Ltd (C&W),10 digit numbers,28/11/2024
9000 01,Allocated,Invade International Ltd,10 digit numbers,13/01/2016
9000 03,Allocated,Atlas Interactive Group Limited,10 digit numbers,28/10/2005
9000 09,Quarantined,,10 digit numbers,
9000 10,Allocated,Vodafone Ltd (C&W),10 digit numbers,28/11/2024
9000 11,Allocated,Vodafone Ltd (C&W),10 digit numbers,13/09/2013
9000 12,Allocated,Virgin Media Limited,10 digit numbers,17/03/2005
9000 13,Allocated,Invade International Ltd,10 digit numbers,13/01/2016
9000 14,Allocated,Virgin Media Limited,10 digit numbers,08/04/2016
9000 15,Allocated,24 Seven Communications Limited,10 digit numbers,13/09/2011
9000 19,Quarantined,,10 digit numbers,
9000 20,Allocated,TTNC Limited,10 digit numbers,03/10/2013
9000 21,Allocated,Virgin Media Limited,10 digit numbers,08/04/2016
9000 22,Allocated,Virgin Media Limited,10 digit numbers,17/03/2005
9000 24,Allocated,24 Seven Communications Limited,10 digit numbers,17/03/2008
9000 28,Allocated,24 Seven Communications Limited,10 digit numbers,13/09/2011
9000 30,Allocated,TTNC Limited,10 digit numbers,03/10/2013
9000 31,Allocated,Invade International Ltd,10 digit numbers,13/01/2016
9000 32,Allocated,One Network Limited,10 digit numbers,19/04/2011
9000 34,Allocated,Virgin Media Limited,10 digit numbers,17/03/2005
9000 35,Allocated,24 Seven Communications Limited,10 digit numbers,13/09/2011
9000 38,Quarantined,,10 digit numbers,
9000 39,Allocated,Visional Media Limited,10 digit numbers,29/10/2024
9000 47,Allocated,Promotions4All Ltd,10 digit numbers,06/01/2010
9000 48,Quarantined,,10 digit numbers,
9000 59,Quarantined,,10 digit numbers,
9000 68,Quarantined,,10 digit numbers,
9000 71,Allocated,Virgin Media Limited,10 digit numbers,21/06/2005
9000 72,Quarantined,,10 digit numbers,
9000 77,Allocated,GCI Network Solutions Limited,10 digit numbers,02/01/2025
9000 79,Allocated,Plus Telecom Limited,10 digit numbers,18/01/2006
9000 81,Quarantined,,10 digit numbers,
9000 83,Allocated,Dynamic Mobile Billing Limited,10 digit numbers,16/01/2006
9000 89,Allocated,Plus Telecom Limited,10 digit numbers,18/01/2006
9000 91,Quarantined,,10 digit numbers,
9000 92,Allocated,Atlas Interactive Group Limited,10 digit numbers,28/10/2005
9000 93,Allocated,Dynamic Mobile Billing Limited,10 digit numbers,16/01/2006
9000 97,Allocated,Media Telecom Ltd,10 digit numbers,24/06/2010
9000 98,Allocated,Media Telecom Ltd,10 digit numbers,24/06/2010
9000 99,Allocated,Plus Telecom Limited,10 digit numbers,18/01/2006
9001 00,Allocated,BT,10 digit numbers,07/06/2004
9001 01,Allocated,BT,10 digit numbers,07/06/2004
9001 02,Allocated,BT,10 digit numbers,07/06/2004
9001 03,Allocated,BT,10 digit numbers,07/06/2004
9001 07,Allocated,Media Telecom Ltd,10 digit numbers,24/06/2010
9001 08,Allocated,Telecom2 Limited,10 digit numbers,11/02/2016
