NMS Number Block: Number Block,Block Status,CP Name,Non Geo Number Length,Allocation Date
7000 0,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 1,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 2,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 3,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 4,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 5,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 6,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 7,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 8,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7000 9,Allocated,Vodafone Limited,10 digit numbers,06/11/1995
7001 00,Protected,,10 digit numbers,
7001 01,Protected,,10 digit numbers,
7001 02,Protected,,10 digit numbers,
7001 03,Protected,,10 digit numbers,
7001 04,Protected,,10 digit numbers,
7001 05,Protected,,10 digit numbers,
7001 06,Protected,,10 digit numbers,
7001 07,Protected,,10 digit numbers,
7001 08,Protected,,10 digit numbers,
7001 09,Protected,,10 digit numbers,
7001 10,Protected,,10 digit numbers,
7001 11,Protected,,10 digit numbers,
7001 12,Protected,,10 digit numbers,
7001 13,Protected,,10 digit numbers,
7001 14,Protected,,10 digit numbers,
7001 15,Protected,,10 digit numbers,
7001 16,Protected,,10 digit numbers,
7001 17,Protected,,10 digit numbers,
7001 18,Protected,,10 digit numbers,
7001 19,Protected,,10 digit numbers,
7001 20,Protected,,10 digit numbers,
7001 21,Protected,,10 digit numbers,
7001 22,Protected,,10 digit numbers,
7001 23,Protected,,10 digit numbers,
7001 24,Protected,,10 digit numbers,
7001 25,Protected,,10 digit numbers,
7001 26,Protected,,10 digit numbers,
7001 27,Protected,,10 digit numbers,
7001 28,Protected,,10 digit numbers,
7001 29,Protected,,10 digit numbers,
7001 30,Protected,,10 digit numbers,
7001 31,Protected,,10 digit numbers,
7001 32,Protected,,10 digit numbers,
7001 33,Protected,,10 digit numbers,
7001 34,Protected,,10 digit numbers,
7001 35,Protected,,10 digit numbers,
7001 36,Protected,,10 digit numbers,
7001 37,Protected,,10 digit numbers,
7001 38,Protected,,10 digit numbers,
7001 39,Protected,,10 digit numbers,
7001 40,Protected,,10 digit numbers,
7001 41,Protected,,10 digit numbers,
7001 42,Protected,,10 digit numbers,
7001 43,Protected,,10 digit numbers,
7001 44,Protected,,10 digit numbers,
7001 45,Protected,,10 digit numbers,
7001 46,Protected,,10 digit numbers,
7001 47,Protected,,10 digit numbers,
7001 48,Protected,,10 digit numbers,
7001 49,Protected,,10 digit numbers,
7001 50,Protected,,10 digit numbers,
7001 51,Protected,,10 digit numbers,
7001 52,Protected,,10 digit numbers,
7001 53,Protected,,10 digit numbers,
7001 54,Protected,,10 digit numbers,
7001 55,Protected,,10 digit numbers,
7001 56,Protected,,10 digit numbers,
7001 57,Protected,,10 digit numbers,
7001 58,Protected,,10 digit numbers,
7001 59,Protected,,10 digit numbers,
7001 60,Protected,,10 digit numbers,
7001 61,Protected,,10 digit numbers,
7001 62,Protected,,10 digit numbers,
7001 63,Protected,,10 digit numbers,
7001 64,Protected,,10 digit numbers,
7001 65,Protected,,10 digit numbers,
7001 66,Protected,,10 digit numbers,
7001 67,Protected,,10 digit numbers,
7001 68,Protected,,10 digit numbers,
7001 69,Protected,,10 digit numbers,
7001 70,Protected,,10 digit numbers,
7001 71,Protected,,10 digit numbers,
7001 72,Protected,,10 digit numbers,
7001 73,Protected,,10 digit numbers,
7001 74,Protected,,10 digit numbers,
7001 75,Protected,,10 digit numbers,
7001 76,Protected,,10 digit numbers,
7001 77,Protected,,10 digit numbers,
7001 78,Protected,,10 digit numbers,
7001 79,Protected,,10 digit numbers,
7001 80,Protected,,10 digit numbers,
7001 81,Protected,,10 digit numbers,
7001 82,Protected,,10 digit numbers,
7001 83,Protected,,10 digit numbers,
7001 84,Protected,,10 digit numbers,
7001 85,Protected,,10 digit numbers,
7001 86,Protected,,10 digit numbers,
7001 87,Protected,,10 digit numbers,
7001 88,Protected,,10 digit numbers,
7001 89,Protected,,10 digit numbers,
7001 90,Protected,,10 digit numbers,
7001 91,Protected,,10 digit numbers,
7001 92,Protected,,10 digit numbers,
7001 93,Protected,,10 digit numbers,
7001 94,Protected,,10 digit numbers,
7001 95,Protected,,10 digit numbers,
7001 96,Protected,,10 digit numbers,
7001 97,Protected,,10 digit numbers,
7001 98,Protected,,10 digit numbers,
7001 99,Protected,,10 digit numbers,
7002 0,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 1,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 2,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 3,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 4,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 5,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 6,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 7,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 8,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7002 9,Allocated,Vodafone Limited,10 digit numbers,26/03/1996
7003 0,Quarantined,,10 digit numbers,
7003 1,Protected,,10 digit numbers,
7003 2,Protected,,10 digit numbers,
7003 3,Protected,,10 digit numbers,
7003 4,Allocated,Nexus Telecommunications Limited,10 digit numbers,23/11/2000
7003 5,Allocated,4D Interactive Ltd,10 digit numbers,03/06/1998
7003 6,Allocated,4D Interactive Ltd,10 digit numbers,03/06/1998
7003 7,Allocated,4D Interactive Ltd,10 digit numbers,03/06/1998
7003 8,Allocated,4D Interactive Ltd,10 digit numbers,03/06/1998
7003 9,Protected,,10 digit numbers,
7004 0,Allocated,Daisy Communications Ltd,10 digit numbers,13/12/2010
7004 1,Allocated,Daisy Communications Ltd,10 digit numbers,13/12/2010
7004 2,Allocated,Daisy Communications Ltd,10 digit numbers,13/12/2010
7004 3,Allocated,Daisy Communications Ltd,10 digit numbers,13/12/2010
7004 4,Allocated,Daisy Communications Ltd,10 digit numbers,13/12/2010
7004 5,Allocated,Daisy Communications Ltd,10 digit numbers,13/12/2010
7004 6,Allocated,Daisy Communications Ltd,10 digit numbers,13/12/2010
7004 7,Allocated,Daisy Communications Ltd,10 digit numbers,13/12/2010
7004 8,Allocated,Daisy Communications Ltd,10 digit numbers,13/12/2010
7004 9,Allocated,Daisy Communications Ltd,10 digit numbers,13/12/2010
7005 0,Allocated,TelXL Limited,10 digit numbers,10/06/2003
7005 1,Allocated,Numbergroup Utilities Ltd,10 digit numbers,26/10/2010
7005 2,Allocated,TalkTalk Communications Limited,10 digit numbers,09/10/2003
7005 3,Allocated,TalkTalk Communications Limited,10 digit numbers,09/10/2003
7005 4,Allocated,TalkTalk Communications Limited,10 digit numbers,09/10/2003
7005 5,Allocated,TalkTalk Communications Limited,10 digit numbers,23/01/2014
7005 6,Allocated,TalkTalk Communications Limited,10 digit numbers,23/01/2014
7005 7,Protected,,10 digit numbers,
7005 8,Allocated,GCI Network Solutions Limited,10 digit numbers,26/06/2018
7005 9,Allocated,GCI Network Solutions Limited,10 digit numbers,26/06/2018
7006 0,Protected,,10 digit numbers,
7006 1,Protected,,10 digit numbers,
7006 2,Allocated,Telecom2 Limited,10 digit numbers,17/08/2009
7006 3,Allocated,GCI Network Solutions Limited,10 digit numbers,19/04/2017
7006 4,Allocated,Nexus Telecommunications Limited,10 digit numbers,23/11/2000
7006 5,Allocated,Tiscali UK Limited,10 digit numbers,21/05/1997
7006 6,Protected,,10 digit numbers,
7006 7,Allocated,TGL Services (UK) Ltd,10 digit numbers,02/02/2015
7006 80,Allocated,Sound Advertising Ltd,10 digit numbers,10/03/2011
7006 81,Protected,,10 digit numbers,
7006 82,Protected,,10 digit numbers,
7006 83,Allocated,TelecomIQ Limited,10 digit numbers,13/05/2020
7006 84,Protected,,10 digit numbers,
7006 85,Allocated,Voice Simplified Limited,10 digit numbers,20/11/2014
7006 86,Protected,,10 digit numbers,
7006 87,Protected,,10 digit numbers,
7006 88,Protected,,10 digit numbers,
7006 89,Allocated,Voice Simplified Limited,10 digit numbers,05/02/2015
7006 9,Protected,,10 digit numbers,
7007 00,Protected,,10 digit numbers,
7007 01,Protected,,10 digit numbers,
7007 02,Protected,,10 digit numbers,
7007 03,Protected,,10 digit numbers,
7007 04,Protected,,10 digit numbers,
7007 05,Protected,,10 digit numbers,
7007 06,Protected,,10 digit numbers,
7007 07,Protected,,10 digit numbers,
7007 08,Protected,,10 digit numbers,
7007 09,Protected,,10 digit numbers,
7007 10,Protected,,10 digit numbers,
7007 11,Protected,,10 digit numbers,
7007 12,Protected,,10 digit numbers,
7007 13,Protected,,10 digit numbers,
7007 14,Protected,,10 digit numbers,
7007 15,Protected,,10 digit numbers,
7007 16,Protected,,10 digit numbers,
7007 17,Protected,,10 digit numbers,
7007 18,Protected,,10 digit numbers,
7007 19,Protected,,10 digit numbers,
7007 20,Protected,,10 digit numbers,
7007 21,Protected,,10 digit numbers,
7007 22,Protected,,10 digit numbers,
7007 23,Protected,,10 digit numbers,
7007 24,Protected,,10 digit numbers,
7007 25,Protected,,10 digit numbers,
7007 26,Protected,,10 digit numbers,
7007 27,Protected,,10 digit numbers,
7007 28,Protected,,10 digit numbers,
7007 29,Protected,,10 digit numbers,
7007 30,Protected,,10 digit numbers,
7007 31,Protected,,10 digit numbers,
7007 32,Protected,,10 digit numbers,
7007 33,Protected,,10 digit numbers,
7007 34,Protected,,10 digit numbers,
7007 35,Protected,,10 digit numbers,
7007 36,Protected,,10 digit numbers,
7007 37,Protected,,10 digit numbers,
7007 38,Protected,,10 digit numbers,
7007 39,Protected,,10 digit numbers,
7007 40,Protected,,10 digit numbers,
7007 41,Protected,,10 digit numbers,
7007 42,Protected,,10 digit numbers,
7007 43,Protected,,10 digit numbers,
7007 44,Protected,,10 digit numbers,
7007 45,Protected,,10 digit numbers,
7007 46,Protected,,10 digit numbers,
7007 47,Protected,,10 digit numbers,
7007 48,Protected,,10 digit numbers,
7007 49,Protected,,10 digit numbers,
7007 50,Protected,,10 digit numbers,
7007 51,Protected,,10 digit numbers,
7007 52,Protected,,10 digit numbers,
7007 53,Protected,,10 digit numbers,
7007 54,Protected,,10 digit numbers,
7007 55,Protected,,10 digit numbers,
7007 56,Protected,,10 digit numbers,
7007 57,Protected,,10 digit numbers,
7007 58,Protected,,10 digit numbers,
7007 59,Protected,,10 digit numbers,
7007 60,Protected,,10 digit numbers,
7007 61,Protected,,10 digit numbers,
7007 62,Protected,,10 digit numbers,
7007 63,Protected,,10 digit numbers,
7007 64,Protected,,10 digit numbers,
7007 65,Protected,,10 digit numbers,
7007 66,Protected,,10 digit numbers,
7007 67,Protected,,10 digit numbers,
7007 68,Protected,,10 digit numbers,
7007 69,Protected,,10 digit numbers,
7007 70,Protected,,10 digit numbers,
7007 71,Protected,,10 digit numbers,
7007 72,Protected,,10 digit numbers,
7007 73,Protected,,10 digit numbers,
7007 74,Protected,,10 digit numbers,
7007 75,Protected,,10 digit numbers,
7007 76,Protected,,10 digit numbers,
7007 77,Protected,,10 digit numbers,
7007 78,Protected,,10 digit numbers,
7007 79,Protected,,10 digit numbers,
7007 80,Protected,,10 digit numbers,
7007 81,Protected,,10 digit numbers,
7007 82,Protected,,10 digit numbers,
7007 83,Protected,,10 digit numbers,
7007 84,Protected,,10 digit numbers,
7007 85,Protected,,10 digit numbers,
7007 86,Protected,,10 digit numbers,
7007 87,Protected,,10 digit numbers,
7007 88,Protected,,10 digit numbers,
7007 89,Protected,,10 digit numbers,
7007 90,Protected,,10 digit numbers,
7007 91,Protected,,10 digit numbers,
7007 92,Protected,,10 digit numbers,
7007 93,Protected,,10 digit numbers,
7007 94,Protected,,10 digit numbers,
7007 95,Protected,,10 digit numbers,
7007 96,Protected,,10 digit numbers,
7007 97,Protected,,10 digit numbers,
7007 98,Protected,,10 digit numbers,
7007 99,Protected,,10 digit numbers,
7008 0,Allocated,TelXL Limited,10 digit numbers,11/03/2004
7008 1,Quarantined,,10 digit numbers,
7008 2,Protected,,10 digit numbers,
7008 30,Protected,,10 digit numbers,
7008 31,Protected,,10 digit numbers,
7008 32,Protected,,10 digit numbers,
7008 33,Protected,,10 digit numbers,
7008 34,Protected,,10 digit numbers,
7008 35,Protected,,10 digit numbers,
7008 36,Protected,,10 digit numbers,
7008 37,Protected,,10 digit numbers,
7008 38,Protected,,10 digit numbers,
7008 39,Protected,,10 digit numbers,
7008 4,Quarantined,,10 digit numbers,
7008 5,Protected,,10 digit numbers,
7008 6,Protected,,10 digit numbers,
7008 7,Protected,,10 digit numbers,
7008 8,Quarantined,,10 digit numbers,
7008 9,Quarantined,,10 digit numbers,
7009 0,Allocated,GCI Network Solutions Limited,10 digit numbers,12/06/2024
7009 1,Allocated,GCI Network Solutions Limited,10 digit numbers,12/06/2024
7009 2,Allocated,GCI Network Solutions Limited,10 digit numbers,12/06/2024
7009 3,Allocated,GCI Network Solutions Limited,10 digit numbers,12/06/2024
7009 4,Allocated,GCI Network Solutions Limited,10 digit numbers,12/06/2024
7009 5,Allocated,GCI Network Solutions Limited,10 digit numbers,12/06/2024
7009 6,Allocated,GCI Network Solutions Limited,10 digit numbers,12/06/2024
7009 7,Allocated,GCI Network Solutions Limited,10 digit numbers,12/06/2024
7009 8,Allocated,GCI Network Solutions Limited,10 digit numbers,12/06/2024
7009 9,Allocated,GCI Network Solutions Limited,10 digit numbers,12/06/2024
7010 0,Allocated,FleXtel Limited,10 digit numbers,25/01/1995
7010 1,Allocated,FleXtel Limited,10 digit numbers,25/01/1995
7010 2,Allocated,FleXtel Limited,10 digit numbers,25/01/1995
7010 3,Allocated,FleXtel Limited,10 digit numbers,25/01/1995
7010 4,Allocated,FleXtel Limited,10 digit numbers,25/01/1995
7010 5,Allocated,FleXtel Limited,10 digit numbers,25/01/1995
7010 6,Allocated,FleXtel Limited,10 digit numbers,25/01/1995
7010 7,Allocated,FleXtel Limited,10 digit numbers,25/01/1995
7010 8,Allocated,FleXtel Limited,10 digit numbers,25/01/1995
7010 9,Allocated,FleXtel Limited,10 digit numbers,25/01/1995
7011 0,Allocated,TTNC Limited,10 digit numbers,20/01/2014
7011 1,Protected,,10 digit numbers,
7011 2,Allocated,Magrathea Telecommunications Limited,10 digit numbers,26/01/2007
7011 3,Protected,,10 digit numbers,
7011 4,Allocated,Barritel Limited,10 digit numbers,10/08/2004
7011 5,Allocated,Barritel Limited,10 digit numbers,10/08/2004
7011 6,Protected,,10 digit numbers,
7011 70,Allocated,Voice Simplified Limited,10 digit numbers,18/07/2013
7011 71,Allocated,Mintaka Limited,10 digit numbers,29/07/2013
7011 72,Protected,,10 digit numbers,
7011 73,Protected,,10 digit numbers,
7011 74,Protected,,10 digit numbers,
7011 75,Protected,,10 digit numbers,
7011 76,Free,,10 digit numbers,
7011 77,Allocated,TelecomIQ Limited,10 digit numbers,22/07/2013
7011 78,Protected,,10 digit numbers,
7011 79,Protected,,10 digit numbers,
7011 8,Allocated,Barritel Limited,10 digit numbers,10/08/2004
7011 90,Allocated,Voice Simplified Limited,10 digit numbers,18/07/2013
7011 91,Allocated,Marathon Telecom Limited,10 digit numbers,22/01/2015
7011 92,Protected,,10 digit numbers,
7011 93,Protected,,10 digit numbers,
7011 94,Allocated,Nuso Cloud UK Limited,10 digit numbers,26/02/2016
7011 95,Protected,,10 digit numbers,
7011 96,Protected,,10 digit numbers,
7011 97,Allocated,Internet of Things Limited,10 digit numbers,13/07/2021
7011 98,Protected,,10 digit numbers,
7011 99,Allocated,Twelve Telecom Limited,10 digit numbers,04/12/2013
7012 00,Protected,,10 digit numbers,
7012 01,Protected,,10 digit numbers,
7012 02,Protected,,10 digit numbers,
7012 03,Protected,,10 digit numbers,
7012 04,Protected,,10 digit numbers,
7012 05,Protected,,10 digit numbers,
7012 06,Protected,,10 digit numbers,
7012 07,Protected,,10 digit numbers,
7012 08,Protected,,10 digit numbers,
7012 09,Protected,,10 digit numbers,
7012 1,Allocated,24 Seven Communications Limited,10 digit numbers,17/03/2008
7012 20,Protected,,10 digit numbers,
7012 21,Protected,,10 digit numbers,
7012 22,Protected,,10 digit numbers,
7012 23,Protected,,10 digit numbers,
7012 24,Protected,,10 digit numbers,
7012 25,Protected,,10 digit numbers,
7012 26,Protected,,10 digit numbers,
7012 27,Protected,,10 digit numbers,
7012 28,Protected,,10 digit numbers,
7012 29,Protected,,10 digit numbers,
7012 3,Allocated,Nexus Telecommunications Limited,10 digit numbers,09/12/2004
7012 4,Allocated,Dynamic Mobile Billing Limited,10 digit numbers,17/01/2005
7012 5,Allocated,Dynamic Mobile Billing Limited,10 digit numbers,17/01/2005
7012 6,Protected,,10 digit numbers,
7012 7,Allocated,Dynamic Mobile Billing Limited,10 digit numbers,17/01/2005
7012 8,Quarantined,,10 digit numbers,
7012 9,Allocated,GCI Network Solutions Limited,10 digit numbers,26/04/2017
7013 00,Protected,,10 digit numbers,
7013 01,Protected,,10 digit numbers,
7013 02,Protected,,10 digit numbers,
7013 03,Protected,,10 digit numbers,
7013 04,Protected,,10 digit numbers,
7013 05,Protected,,10 digit numbers,
7013 06,Protected,,10 digit numbers,
7013 07,Protected,,10 digit numbers,
7013 08,Protected,,10 digit numbers,
7013 09,Protected,,10 digit numbers,
7013 1,Allocated,Dynamic Mobile Billing Limited,10 digit numbers,17/01/2005
7013 2,Protected,,10 digit numbers,
7013 30,Protected,,10 digit numbers,
7013 31,Protected,,10 digit numbers,
7013 32,Protected,,10 digit numbers,
7013 33,Protected,,10 digit numbers,
7013 34,Protected,,10 digit numbers,
7013 35,Protected,,10 digit numbers,
7013 36,Protected,,10 digit numbers,
7013 37,Protected,,10 digit numbers,
7013 38,Protected,,10 digit numbers,
7013 39,Protected,,10 digit numbers,
7013 4,Allocated,Dynamic Mobile Billing Limited,10 digit numbers,17/01/2005
7013 5,Protected,,10 digit numbers,
7013 6,Allocated,Dynamic Mobile Billing Limited,10 digit numbers,17/01/2005
7013 7,Protected,,10 digit numbers,
7013 8,Allocated,Dynamic Mobile Billing Limited,10 digit numbers,17/01/2005
7013 9,Protected,,10 digit numbers,
7014 0,Protected,,10 digit numbers,
7014 1,Protected,,10 digit numbers,
7014 2,Allocated,FleXtel Limited,10 digit numbers,17/07/1997
7014 3,Protected,,10 digit numbers,
7014 4,Protected,,10 digit numbers,
7014 5,Allocated,Telecom 10 Ltd,10 digit numbers,24/11/2009
7014 6,Protected,,10 digit numbers,
7014 7,Protected,,10 digit numbers,
7014 8,Protected,,10 digit numbers,
7014 9,Protected,,10 digit numbers,
7015 00,Protected,,10 digit numbers,
7015 01,Protected,,10 digit numbers,
7015 02,Protected,,10 digit numbers,
7015 03,Protected,,10 digit numbers,
7015 04,Protected,,10 digit numbers,
7015 05,Protected,,10 digit numbers,
7015 06,Protected,,10 digit numbers,
7015 07,Protected,,10 digit numbers,
7015 08,Protected,,10 digit numbers,
7015 09,Protected,,10 digit numbers,
7015 10,Allocated,Nuso Cloud UK Limited,10 digit numbers,13/03/2009
7015 11,Allocated,JT (Jersey) Limited,10 digit numbers,09/07/2009
7015 12,Protected,,10 digit numbers,
7015 13,Protected,,10 digit numbers,
7015 14,Protected,,10 digit numbers,
7015 15,Protected,,10 digit numbers,
7015 16,Protected,,10 digit numbers,
7015 17,Protected,,10 digit numbers,
7015 18,Allocated,Business Broadcast Communications Limited,10 digit numbers,16/10/2009
7015 19,Protected,,10 digit numbers,
7015 2,Allocated,24 Seven Communications Limited,10 digit numbers,17/03/2008
7015 3,Protected,,10 digit numbers,
7015 4,Protected,,10 digit numbers,
7015 5,Protected,,10 digit numbers,
7015 6,Allocated,Citrus Telecommunications Ltd,10 digit numbers,19/01/2005
7015 7,Protected,,10 digit numbers,
7015 8,Protected,,10 digit numbers,
7015 9,Protected,,10 digit numbers,
7016 0,Protected,,10 digit numbers,
7016 1,Protected,,10 digit numbers,
7016 2,Protected,,10 digit numbers,
7016 3,Protected,,10 digit numbers,
7016 4,Protected,,10 digit numbers,
7016 5,Protected,,10 digit numbers,
7016 6,Allocated,Served Up Limited,10 digit numbers,03/06/2008
7016 7,Protected,,10 digit numbers,
7016 8,Protected,,10 digit numbers,
7016 9,Allocated,24 Seven Communications Limited,10 digit numbers,12/09/2011
7017 0,Allocated,FleXtel Limited,10 digit numbers,03/07/2000
7017 1,Allocated,FleXtel Limited,10 digit numbers,03/07/2000
7017 2,Allocated,FleXtel Limited,10 digit numbers,03/07/2000
7017 3,Allocated,FleXtel Limited,10 digit numbers,03/07/2000
7017 4,Allocated,FleXtel Limited,10 digit numbers,03/07/2000
7017 5,Allocated,FleXtel Limited,10 digit numbers,03/07/2000
7017 6,Allocated,FleXtel Limited,10 digit numbers,03/07/2000
7017 7,Allocated,FleXtel Limited,10 digit numbers,03/07/2000
7017 8,Allocated,FleXtel Limited,10 digit numbers,03/07/2000
7017 9,Allocated,FleXtel Limited,10 digit numbers,03/07/2000
7018 0,Allocated,Daotec Ltd,10 digit numbers,27/04/2005
7018 1,Protected,,10 digit numbers,
7018 2,Allocated,Daotec Ltd,10 digit numbers,27/04/2005
7018 3,Protected,,10 digit numbers,
7018 4,Allocated,Daotec Ltd,10 digit numbers,27/04/2005
7018 5,Protected,,10 digit numbers,
7018 6,Protected,,10 digit numbers,
7018 7,Protected,,10 digit numbers,
7018 8,Protected,,10 digit numbers,
7018 9,Quarantined,,10 digit numbers,
7019 0,Allocated,24 Seven Communications Limited,10 digit numbers,12/09/2011
7019 1,Protected,,10 digit numbers,
7019 2,Protected,,10 digit numbers,
7019 3,Protected,,10 digit numbers,
7019 4,Protected,,10 digit numbers,
7019 5,Protected,,10 digit numbers,
7019 6,Protected,,10 digit numbers,
7019 7,Protected,,10 digit numbers,
7019 8,Protected,,10 digit numbers,
7019 9,Protected,,10 digit numbers,
7020 0,Protected,,10 digit numbers,
7020 1,Protected,,10 digit numbers,
7020 2,Protected,,10 digit numbers,
7020 3,Protected,,10 digit numbers,
7020 4,Protected,,10 digit numbers,
7020 5,Protected,,10 digit numbers,
7020 6,Protected,,10 digit numbers,
7020 7,Protected,,10 digit numbers,
7020 8,Protected,,10 digit numbers,
7020 9,Protected,,10 digit numbers,
7021 0,Allocated,Swiftnet Ltd,10 digit numbers,05/08/1999
7021 1,Allocated,TalkTalk Communications Limited,10 digit numbers,21/07/2006
7021 20,Allocated,Sound Advertising Ltd,10 digit numbers,10/03/2011
7021 21,Allocated,Phone Co-Op Numbering Limited,10 digit numbers,07/03/2011
7021 22,Allocated,Phone Co-Op Numbering Limited,10 digit numbers,07/03/2011
7021 23,Allocated,Sound Advertising Ltd,10 digit numbers,10/03/2011
7021 24,Protected,,10 digit numbers,
7021 25,Protected,,10 digit numbers,
7021 26,Protected,,10 digit numbers,
7021 27,Protected,,10 digit numbers,
7021 28,Protected,,10 digit numbers,
7021 29,Protected,,10 digit numbers,
7021 3,Allocated,Daisy Communications Ltd,10 digit numbers,13/01/2011
7021 4,Allocated,Swiftnet Ltd,10 digit numbers,05/08/1999
7021 50,Protected,,10 digit numbers,
7021 51,Protected,,10 digit numbers,
7021 52,Protected,,10 digit numbers,
7021 53,Protected,,10 digit numbers,
7021 54,Protected,,10 digit numbers,
7021 55,Protected,,10 digit numbers,
7021 56,Protected,,10 digit numbers,
7021 57,Protected,,10 digit numbers,
7021 58,Protected,,10 digit numbers,
7021 59,Allocated,Business Broadcast Communications Limited,10 digit numbers,16/10/2009
7021 6,Protected,,10 digit numbers,
7021 70,Protected,,10 digit numbers,
7021 71,Protected,,10 digit numbers,
7021 72,Protected,,10 digit numbers,
7021 73,Protected,,10 digit numbers,
7021 74,Allocated,A2B Telecom Limited,10 digit numbers,02/03/2010
7021 75,Allocated,A2B Telecom Limited,10 digit numbers,02/03/2010
7021 76,Allocated,A2B Telecom Limited,10 digit numbers,02/03/2010
7021 77,Allocated,Relax Telecom Limited,10 digit numbers,01/10/2015
7021 78,Protected,,10 digit numbers,
7021 79,Protected,,10 digit numbers,
7021 80,Protected,,10 digit numbers,
7021 81,Protected,,10 digit numbers,
7021 82,Protected,,10 digit numbers,
7021 83,Protected,,10 digit numbers,
7021 84,Protected,,10 digit numbers,
7021 85,Protected,,10 digit numbers,
7021 86,Protected,,10 digit numbers,
7021 87,Allocated,Business Broadcast Communications Limited,10 digit numbers,16/10/2009
7021 88,Protected,,10 digit numbers,
7021 89,Protected,,10 digit numbers,
7021 9,Protected,,10 digit numbers,
7022 0,Protected,,10 digit numbers,
7022 1,Protected,,10 digit numbers,
7022 2,Allocated,TTNC Limited,10 digit numbers,20/01/2014
7022 3,Protected,,10 digit numbers,
7022 4,Protected,,10 digit numbers,
7022 5,Protected,,10 digit numbers,
7022 6,Protected,,10 digit numbers,
7022 7,Protected,,10 digit numbers,
7022 8,Protected,,10 digit numbers,
7022 9,Protected,,10 digit numbers,
7023 0,Allocated,Magrathea Telecommunications Limited,10 digit numbers,17/05/2005
7023 1,Protected,,10 digit numbers,
7023 2,Protected,,10 digit numbers,
7023 3,Protected,,10 digit numbers,
7023 4,Protected,,10 digit numbers,
7023 5,Protected,,10 digit numbers,
7023 6,Protected,,10 digit numbers,
7023 7,Protected,,10 digit numbers,
7023 80,Protected,,10 digit numbers,
7023 81,Protected,,10 digit numbers,
7023 82,Allocated,Linear Telecoms Limited,10 digit numbers,14/04/2011
7023 83,Allocated,Sound Advertising Ltd,10 digit numbers,10/03/2011
7023 84,Allocated,Nuso Cloud UK Limited,10 digit numbers,25/05/2011
7023 85,Protected,,10 digit numbers,
7023 86,Allocated,Numbers Plus Ltd,10 digit numbers,20/07/2011
7023 87,Protected,,10 digit numbers,
7023 88,Allocated,Phone Co-Op Numbering Limited,10 digit numbers,07/03/2011
7023 89,Protected,,10 digit numbers,
7023 90,Protected,,10 digit numbers,
7023 91,Protected,,10 digit numbers,
7023 92,Protected,,10 digit numbers,
7023 93,Protected,,10 digit numbers,
7023 94,Protected,,10 digit numbers,
7023 95,Protected,,10 digit numbers,
7023 96,Protected,,10 digit numbers,
7023 97,Protected,,10 digit numbers,
7023 98,Protected,,10 digit numbers,
7023 99,Protected,,10 digit numbers,
7024 0,Allocated,Magrathea Telecommunications Limited,10 digit numbers,17/05/2005
7024 1,Protected,,10 digit numbers,
7024 2,Protected,,10 digit numbers,
7024 3,Protected,,10 digit numbers,
7024 40,Protected,,10 digit numbers,
7024 41,Protected,,10 digit numbers,
7024 42,Protected,,10 digit numbers,
7024 43,Protected,,10 digit numbers,
7024 44,Protected,,10 digit numbers,
7024 45,Protected,,10 digit numbers,
7024 46,Protected,,10 digit numbers,
7024 47,Protected,,10 digit numbers,
7024 48,Protected,,10 digit numbers,
7024 49,Protected,,10 digit numbers,
7024 5,Protected,,10 digit numbers,
7024 6,Protected,,10 digit numbers,
7024 7,Protected,,10 digit numbers,
7024 8,Protected,,10 digit numbers,
7024 9,Protected,,10 digit numbers,
7025 0,Protected,,10 digit numbers,
7025 1,Protected,,10 digit numbers,
7025 2,Protected,,10 digit numbers,
7025 3,Protected,,10 digit numbers,
7025 4,Protected,,10 digit numbers,
7025 50,Protected,,10 digit numbers,
7025 51,Protected,,10 digit numbers,
7025 52,Protected,,10 digit numbers,
7025 53,Protected,,10 digit numbers,
7025 54,Protected,,10 digit numbers,
7025 55,Protected,,10 digit numbers,
7025 56,Protected,,10 digit numbers,
7025 57,Protected,,10 digit numbers,
7025 58,Protected,,10 digit numbers,
7025 59,Protected,,10 digit numbers,
7025 6,Protected,,10 digit numbers,
7025 7,Protected,,10 digit numbers,
7025 8,Protected,,10 digit numbers,
7025 9,Protected,,10 digit numbers,
7026 0,Protected,,10 digit numbers,
7026 1,Protected,,10 digit numbers,
