NMS Number Block: Number Block,Block Status,CP Name,Geographic Number Length,Allocation Date,Notes
1275 64 2,Free,,4+6,,
1275 64 3,Free,,4+6,,
1275 64 4,Free,,4+6,,
1275 64 5,Protected,,4+6,,
1275 64 6,Protected,,4+6,,
1275 64 7,Protected,,4+6,,
1275 64 8,Protected,,4+6,,
1275 64 9,Protected,,4+6,,
1275 65 0,Protected,,4+6,,
1275 65 1,Protected,,4+6,,
1275 65 2,Protected,,4+6,,
1275 65 3,Protected,,4+6,,
1275 65 4,Protected,,4+6,,
1275 65 5,Protected,,4+6,,
1275 65 6,Protected,,4+6,,
1275 65 7,Protected,,4+6,,
1275 65 8,Protected,,4+6,,
1275 65 9,Protected,,4+6,,
1275 66 0,Protected,,4+6,,
1275 66 1,Protected,,4+6,,
1275 66 2,Protected,,4+6,,
1275 66 3,Protected,,4+6,,
1275 66 4,Protected,,4+6,,
1275 66 5,Protected,,4+6,,
1275 66 6,Protected,,4+6,,
1275 66 7,Protected,,4+6,,
1275 66 8,Protected,,4+6,,
1275 66 9,Protected,,4+6,,
1275 67 0,Protected,,4+6,,
1275 67 1,Protected,,4+6,,
1275 67 2,Protected,,4+6,,
1275 67 3,Protected,,4+6,,
1275 67 4,Protected,,4+6,,
1275 67 5,Protected,,4+6,,
1275 67 6,Protected,,4+6,,
1275 67 7,Protected,,4+6,,
1275 67 8,Protected,,4+6,,
1275 67 9,Protected,,4+6,,
1275 68 0,Protected,,4+6,,
1275 68 1,Protected,,4+6,,
1275 68 2,Protected,,4+6,,
1275 68 3,Protected,,4+6,,
1275 68 4,Protected,,4+6,,
1275 68 5,Protected,,4+6,,
1275 68 6,Protected,,4+6,,
1275 68 7,Protected,,4+6,,
1275 68 8,Protected,,4+6,,
1275 68 9,Protected,,4+6,,
1275 69 0,Protected,,4+6,,
1275 69 1,Protected,,4+6,,
1275 69 2,Protected,,4+6,,
1275 69 3,Protected,,4+6,,
1275 69 4,Protected,,4+6,,
1275 69 5,Protected,,4+6,,
1275 69 6,Protected,,4+6,,
1275 69 7,Protected,,4+6,,
1275 69 8,Protected,,4+6,,
1275 69 9,Protected,,4+6,,
1275 70,Allocated,Citrus Telecommunications Ltd,4+6,11/04/2006,
1275 71 0,Protected,,4+6,,
1275 71 1,Protected,,4+6,,
1275 71 2,Protected,,4+6,,
1275 71 3,Protected,,4+6,,
1275 71 4,Protected,,4+6,,
1275 71 5,Protected,,4+6,,
1275 71 6,Protected,,4+6,,
1275 71 7,Protected,,4+6,,
1275 71 8,Protected,,4+6,,
1275 71 9,Protected,,4+6,,
1275 72 0,Protected,,4+6,,
1275 72 1,Protected,,4+6,,
1275 72 2,Protected,,4+6,,
1275 72 3,Protected,,4+6,,
1275 72 4,Protected,,4+6,,
1275 72 5,Protected,,4+6,,
1275 72 6,Protected,,4+6,,
1275 72 7,Protected,,4+6,,
1275 72 8,Protected,,4+6,,
1275 72 9,Protected,,4+6,,
1275 73 0,Allocated,Resilient Limited,4+6,18/05/2012,
1275 73 1,Allocated,Resilient Limited,4+6,18/05/2012,
1275 73 2,Protected,,4+6,,
1275 73 3,Protected,,4+6,,
1275 73 4,Protected,,4+6,,
1275 73 5,Protected,,4+6,,
1275 73 6,Protected,,4+6,,
1275 73 7,Protected,,4+6,,
1275 73 8,Protected,,4+6,,
1275 73 9,Allocated,Resilient Limited,4+6,18/05/2012,
1275 74 0,Allocated,DRD Communications Limited,4+6,05/10/2023,
1275 74 1,Allocated,DRD Communications Limited,4+6,05/10/2023,
1275 74 2,Protected,,4+6,,
1275 74 3,Protected,,4+6,,
1275 74 4,Protected,,4+6,,
1275 74 5,Protected,,4+6,,
1275 74 6,Protected,,4+6,,
1275 74 7,Protected,,4+6,,
1275 74 8,Protected,,4+6,,
1275 74 9,Protected,,4+6,,
1275 75,Allocated,Vodafone Ltd (C&W),4+6,04/10/2013,
1275 76,Allocated,Vodafone Ltd (C&W),4+6,04/10/2013,
1275 77,Allocated,Magrathea Telecommunications Limited,4+6,24/09/2004,
1275 78 0,Protected,,4+6,,
1275 78 1,Protected,,4+6,,
1275 78 2,Protected,,4+6,,
1275 78 3,Protected,,4+6,,
1275 78 4,Protected,,4+6,,
1275 78 5,Protected,,4+6,,
1275 78 6,Protected,,4+6,,
1275 78 7,Allocated,Spitfire Network Services Limited,4+6,09/11/2011,
1275 78 8,Protected,,4+6,,
1275 78 9,Protected,,4+6,,
1275 79,Allocated,Virgin Media Limited,4+6,17/03/2016,
1275 80 0,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 80 1,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 80 2,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 80 3,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 80 4,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 80 5,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 80 6,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 80 7,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 80 8,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 80 9,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 81,Allocated,BT,4+6,15/07/1994,
1275 82 0,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 82 1,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 82 2,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 82 3,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 82 4,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 82 5,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 82 6,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 82 7,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 82 8,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 82 9,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1275 83,Allocated,BT,4+6,15/07/1994,
1275 84,Allocated,BT,4+6,15/07/1994,
1275 85,Allocated,BT,4+6,15/07/1994,
1275 86,Allocated,BT,4+6,29/09/1997,
1275 87,Allocated,BT,4+6,15/07/1994,
1275 88,Allocated,Virgin Media Limited,4+6,17/03/2016,
1275 89,Allocated,BT,4+6,15/07/1994,
1275 90 0,Protected,,4+6,,
1275 90 1,Protected,,4+6,,
1275 90 2,Protected,,4+6,,
1275 90 3,Protected,,4+6,,
1275 90 4,Protected,,4+6,,
1275 90 5,Protected,,4+6,,
1275 90 6,Protected,,4+6,,
1275 90 7,Protected,,4+6,,
1275 90 8,Protected,,4+6,,
1275 90 9,Protected,,4+6,,
1275 91 0,Protected,,4+6,,
1275 91 1,Protected,,4+6,,
1275 91 2,Protected,,4+6,,
1275 91 3,Protected,,4+6,,
1275 91 4,Protected,,4+6,,
1275 91 5,Protected,,4+6,,
1275 91 6,Protected,,4+6,,
1275 91 7,Protected,,4+6,,
1275 91 8,Protected,,4+6,,
1275 91 9,Protected,,4+6,,
1275 92 0,Protected,,4+6,,
1275 92 1,Protected,,4+6,,
1275 92 2,Protected,,4+6,,
1275 92 3,Protected,,4+6,,
1275 92 4,Protected,,4+6,,
1275 92 5,Protected,,4+6,,
1275 92 6,Protected,,4+6,,
1275 92 7,Protected,,4+6,,
1275 92 8,Protected,,4+6,,
1275 92 9,Protected,,4+6,,
1275 93 0,Protected,,4+6,,
1275 93 1,Protected,,4+6,,
1275 93 2,Protected,,4+6,,
1275 93 3,Protected,,4+6,,
1275 93 4,Protected,,4+6,,
1275 93 5,Protected,,4+6,,
1275 93 6,Protected,,4+6,,
1275 93 7,Protected,,4+6,,
1275 93 8,Protected,,4+6,,
1275 93 9,Protected,,4+6,,
1275 94 0,Protected,,4+6,,
1275 94 1,Protected,,4+6,,
1275 94 2,Protected,,4+6,,
1275 94 3,Protected,,4+6,,
1275 94 4,Protected,,4+6,,
1275 94 5,Protected,,4+6,,
1275 94 6,Protected,,4+6,,
1275 94 7,Protected,,4+6,,
1275 94 8,Protected,,4+6,,
1275 94 9,Protected,,4+6,,
1275 95 0,Protected,,4+6,,
1275 95 1,Protected,,4+6,,
1275 95 2,Protected,,4+6,,
1275 95 3,Protected,,4+6,,
1275 95 4,Protected,,4+6,,
1275 95 5,Protected,,4+6,,
1275 95 6,Protected,,4+6,,
1275 95 7,Protected,,4+6,,
1275 95 8,Protected,,4+6,,
1275 95 9,Protected,,4+6,,
1275 96 0,Protected,,4+6,,
1275 96 1,Protected,,4+6,,
1275 96 2,Protected,,4+6,,
1275 96 3,Protected,,4+6,,
1275 96 4,Protected,,4+6,,
1275 96 5,Protected,,4+6,,
1275 96 6,Protected,,4+6,,
1275 96 7,Protected,,4+6,,
1275 96 8,Protected,,4+6,,
1275 96 9,Protected,,4+6,,
1275 97 0,Protected,,4+6,,
1275 97 1,Protected,,4+6,,
1275 97 2,Protected,,4+6,,
1275 97 3,Protected,,4+6,,
1275 97 4,Protected,,4+6,,
1275 97 5,Protected,,4+6,,
1275 97 6,Protected,,4+6,,
1275 97 7,Protected,,4+6,,
1275 97 8,Protected,,4+6,,
1275 97 9,Protected,,4+6,,
1275 98 0,Protected,,4+6,,
1275 98 1,Protected,,4+6,,
1275 98 2,Protected,,4+6,,
1275 98 3,Protected,,4+6,,
1275 98 4,Protected,,4+6,,
1275 98 5,Protected,,4+6,,
1275 98 6,Protected,,4+6,,
1275 98 7,Protected,,4+6,,
1275 98 8,Protected,,4+6,,
1275 98 9,Protected,,4+6,,
1275 99,Protected,,4+6,,
1276 00,Protected,,(0)+10,,
1276 01,Protected,,(0)+10,,
1276 02,Protected,,(0)+10,,
1276 03,Protected,,(0)+10,,
1276 04,Protected,,(0)+10,,
1276 05,Protected,,(0)+10,,
1276 06,Protected,,(0)+10,,
1276 07,Protected,,(0)+10,,
1276 08,Protected,,(0)+10,,
1276 09,Protected,,(0)+10,,
1276 10,Protected,,(0)+10,,
1276 11 0,Protected,,(0)+10,,
1276 11 1,Protected,,(0)+10,,
1276 11 2,Protected,,(0)+10,,
1276 11 3,Protected,,(0)+10,,
1276 11 4,Protected,,(0)+10,,
1276 11 5,Protected,,(0)+10,,
1276 11 6,Protected,,(0)+10,,
1276 11 7,Allocated,BT,(0)+10,04/07/2011,
1276 11 8,Allocated,BT,(0)+10,04/07/2011,
1276 11 9,Protected,,(0)+10,,
1276 12,Protected,,(0)+10,,
1276 13,Protected,,(0)+10,,
1276 14,Protected,,(0)+10,,
1276 15,Protected,,(0)+10,,
1276 16,Protected,,(0)+10,,
1276 17,Protected,,(0)+10,,
1276 18,Protected,,(0)+10,,
1276 19,Protected,,(0)+10,,
1276 20,Allocated,BT,4+5,15/07/1994,
1276 21,Allocated,BT,4+5,15/07/1994,
1276 22,Allocated,BT,4+5,15/07/1994,
1276 23,Allocated,BT,4+5,15/07/1994,
1276 24,Allocated,BT,4+5,15/07/1994,
1276 25,Allocated,BT,4+5,15/07/1994,
1276 26,Allocated,BT,4+5,15/07/1994,
1276 27,Allocated,BT,4+5,15/07/1994,
1276 28,Allocated,BT,4+5,15/07/1994,
1276 29,Allocated,BT,4+5,15/07/1994,
1276 30,Allocated,AQL Wholesale Ltd,4+6,01/11/2004,
1276 31,Allocated,BT,4+5,15/07/1994,
1276 32,Allocated,BT,4+5,15/07/1994,
1276 33,Allocated,BT,4+5,15/07/1994,
1276 34,Allocated,BT,4+5,15/07/1994,
1276 35,Allocated,BT,4+5,15/07/1994,
1276 36,Allocated,BT,4+5,15/07/1994,
1276 37,Allocated,BT,4+5,15/07/1994,
1276 38,Allocated,BT,4+5,15/07/1994,
1276 39 0,Protected,,4+6,,
1276 39 1,Protected,,4+6,,
1276 39 2,Protected,,4+6,,
1276 39 3,Protected,,4+6,,
1276 39 4,Protected,,4+6,,
1276 39 5,Protected,,4+6,,
1276 39 6,Protected,,4+6,,
1276 39 7,Protected,,4+6,,
1276 39 8,Allocated,Served Up Limited,4+6,01/03/2013,
1276 39 9,Allocated,Served Up Limited,4+6,01/03/2013,
1276 40,Allocated,BT,4+6,20/03/1996,
1276 41,Allocated,BT,4+6,15/07/1994,
1276 42 0,Allocated,TelNG Limited,4+6,26/02/2007,
1276 42 1,Allocated,Localphone Limited,4+6,24/04/2007,
1276 42 2,Protected,,4+6,,
1276 42 3,Allocated,TalkTalk Communications Limited,4+6,13/03/2007,
1276 42 4,Allocated,Redcentric Solutions Limited,4+6,05/06/2015,
1276 42 5,Allocated,Colt Technology Services,4+6,21/11/2006,
1276 42 6,Protected,,4+6,,
1276 42 7,Allocated,Spitfire Network Services Limited,4+6,11/08/2006,
1276 42 8,Allocated,Sky UK Limited,4+6,09/08/2013,
1276 42 9,Allocated,Resilient Limited,4+6,15/12/2006,
1276 43,Protected,,4+6,,
1276 44,Protected,,4+6,,
1276 45,Allocated,BT,4+6,15/07/1994,
1276 46,Allocated,BT,4+6,05/08/1997,
1276 47,Allocated,BT,4+6,15/07/1994,
1276 48,Allocated,BT,4+6,27/10/1997,
1276 49 0,Allocated,Sky UK Limited,4+6,28/06/2013,
1276 49 1,Allocated,Sky UK Limited,4+6,28/06/2013,
1276 49 2,Allocated,Sky UK Limited,4+6,28/06/2013,
1276 49 3,Protected,,4+6,,
1276 49 4,Protected,,4+6,,
1276 49 5,Protected,,4+6,,
1276 49 6,Protected,,4+6,,
1276 49 7,Protected,,4+6,,
1276 49 8,Protected,,4+6,,
1276 49 9,Protected,,4+6,,
1276 50,Allocated,Virgin Media Limited,4+6,25/01/1995,
1276 51,Allocated,Virgin Media Limited,4+6,25/01/1995,
1276 52 0,Protected,,4+6,,
1276 52 1,Protected,,4+6,,
1276 52 2,Allocated,Virgin Media Limited,4+6,20/06/2012,
1276 52 3,Allocated,Virgin Media Limited,4+6,20/06/2012,
1276 52 4,Allocated,Virgin Media Limited,4+6,20/06/2012,
1276 52 5,Allocated,Virgin Media Limited,4+6,20/06/2012,
1276 52 6,Allocated,Virgin Media Limited,4+6,20/06/2012,
1276 52 7,Allocated,Virgin Media Limited,4+6,20/06/2012,
1276 52 8,Protected,,4+6,,
1276 52 9,Protected,,4+6,,
1276 53 0,Protected,,4+6,,
1276 53 1,Protected,,4+6,,
1276 53 2,Protected,,4+6,,
1276 53 3,Protected,,4+6,,
1276 53 4,Allocated,Gamma Telecom Holdings Limited,4+6,15/11/2012,
1276 53 5,Allocated,Gamma Telecom Holdings Limited,4+6,15/11/2012,
1276 53 6,Allocated,Gamma Telecom Holdings Limited,4+6,15/11/2012,
1276 53 7,Allocated,Gamma Telecom Holdings Limited,4+6,15/11/2012,
1276 53 8,Allocated,Gamma Telecom Holdings Limited,4+6,15/11/2012,
1276 53 9,Allocated,Gamma Telecom Holdings Limited,4+6,15/11/2012,
1276 54 0,Protected,,4+6,,
1276 54 1,Allocated,TGL Services (UK) Ltd,4+6,02/02/2015,
1276 54 2,Allocated,Entanet International Ltd,4+6,12/12/2017,
1276 54 3,Allocated,Gamma Telecom Holdings Limited,4+6,07/02/2018,
1276 54 4,Allocated,Invosys Limited,4+6,23/08/2017,
1276 54 5,Protected,,4+6,,
1276 54 6,Allocated,Colt Technology Services,4+6,27/10/2017,
1276 54 7,Allocated,Orange Business Holdings UK Limited,4+6,04/01/2019,
1276 54 8,Allocated,Colt Technology Services,4+6,24/08/2018,
1276 54 9,Allocated,EVE CONNECT LTD,4+6,13/05/2022,
1276 55 0,Protected,,4+6,,
1276 55 1,Protected,,4+6,,
1276 55 2,Protected,,4+6,,
1276 55 3,Protected,,4+6,,
1276 55 4,Protected,,4+6,,
1276 55 5,Protected,,4+6,,
1276 55 6,Protected,,4+6,,
1276 55 7,Protected,,4+6,,
1276 55 8,Protected,,4+6,,
1276 55 9,Allocated,Vodafone Ltd (C&W),4+6,11/08/2015,
1276 56 0,Allocated,Vodafone Ltd (C&W),4+6,04/10/2013,
1276 56 1,Allocated,Vodafone Ltd (C&W),4+6,04/10/2013,
1276 56 2,Allocated,Vodafone Ltd (C&W),4+6,04/10/2013,
1276 56 3,Allocated,Vodafone Ltd (C&W),4+6,04/10/2013,
1276 56 4,Allocated,Vodafone Ltd (C&W),4+6,04/10/2013,
1276 56 5,Allocated,Vodafone Ltd (C&W),4+6,04/10/2013,
1276 56 6,Allocated,Vodafone Ltd (C&W),4+6,24/07/2013,
1276 56 7,Allocated,Vodafone Ltd (C&W),4+6,24/07/2013,
1276 56 8,Protected,,4+6,,
1276 56 9,Protected,,4+6,,
1276 57 0,Allocated,Flextel Limited,4+6,27/06/2017,
1276 57 1,Protected,,4+6,,
1276 57 2,Protected,,4+6,,
1276 57 3,Protected,,4+6,,
1276 57 4,Protected,,4+6,,
1276 57 5,Protected,,4+6,,
1276 57 6,Protected,,4+6,,
1276 57 7,Protected,,4+6,,
1276 57 8,Protected,,4+6,,
1276 57 9,Protected,,4+6,,
1276 58 0,Allocated,Syntec Limited,4+6,18/04/2013,
1276 58 1,Allocated,BT,4+6,23/01/2015,
1276 58 2,Allocated,Kalnet4U Ltd,4+6,10/05/2013,
1276 58 3,Allocated,Vonage Business Limited,4+6,14/04/2023,
1276 58 4,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1276 58 5,Allocated,Redwood Technologies Ltd,4+6,15/11/2018,
1276 58 6,Allocated,Sky UK Limited,4+6,19/06/2015,
1276 58 7,Allocated,Gamma Telecom Holdings Limited,4+6,10/06/2016,
1276 58 8,Allocated,Fuse 2 Communications Ltd,4+6,22/01/2024,
1276 58 9,Protected,,4+6,,
1276 59 0,Allocated,Six Degrees Technology Group Limited,4+6,13/01/2020,
1276 59 1,Protected,,4+6,,
1276 59 2,Protected,,4+6,,
1276 59 3,Protected,,4+6,,
1276 59 4,Allocated,Six Degrees Technology Group Limited,4+6,13/01/2020,
1276 59 5,Protected,,4+6,,
1276 59 6,Protected,,4+6,,
1276 59 7,Protected,,4+6,,
1276 59 8,Protected,,4+6,,
1276 59 9,Protected,,4+6,,
1276 60,Allocated,BT,4+6,15/07/1994,
1276 61,Allocated,BT,4+5,15/07/1994,
1276 62,Allocated,BT,4+5,15/07/1994,
1276 63,Allocated,BT,4+5,15/07/1994,
1276 64,Allocated,BT,4+5,15/07/1994,
1276 65,Allocated,BT,4+5,15/07/1994,
1276 66,Allocated,BT,4+5,15/07/1994,
1276 67,Allocated,BT,4+6,15/07/1994,
1276 68,Allocated,BT,4+6,15/07/1994,
1276 69,Allocated,BT,4+6,15/07/1994,
1276 70,Allocated,Virgin Media Limited,4+6,22/08/1995,
1276 71 0,Allocated,Verizon UK Limited,4+6,02/11/2004,
1276 71 1,Allocated,Verizon UK Limited,4+6,02/11/2004,
1276 71 2,Allocated,Verizon UK Limited,4+6,02/11/2004,
1276 71 3,Allocated,Verizon UK Limited,4+6,02/11/2004,
1276 71 4,Protected,,4+6,,
1276 71 5,Protected,,4+6,,
1276 71 6,Protected,,4+6,,
1276 71 7,Allocated,Verizon UK Limited,4+6,02/11/2004,
1276 71 8,Allocated,Verizon UK Limited,4+6,02/11/2004,
1276 71 9,Allocated,Verizon UK Limited,4+6,02/11/2004,
1276 72 0,Allocated,GCI Network Solutions Limited,4+6,20/04/2017,
1276 72 1,Protected,,4+6,,
1276 72 2,Protected,,4+6,,
1276 72 3,Protected,,4+6,,
1276 72 4,Protected,,4+6,,
1276 72 5,Protected,,4+6,,
1276 72 6,Protected,,4+6,,
1276 72 7,Protected,,4+6,,
1276 72 8,Protected,,4+6,,
1276 72 9,Protected,,4+6,,
1276 73 0,Allocated,24 Seven Cloud Communications Ltd,4+6,17/01/2020,
1276 73 1,Allocated,Sky UK Limited,4+6,13/04/2021,
1276 73 2,Allocated,BT,4+6,11/11/2022,
1276 73 3,Allocated,Gamma Telecom Holdings Limited,4+6,10/01/2024,
1276 73 4,Allocated,Voxbone SA,4+6,26/02/2024,
1276 73 5,Free,,4+6,,
1276 73 6,Allocated,SiPalto Ltd,4+6,17/02/2020,
1276 73 7,Allocated,KCOM Group Ltd,4+6,08/09/2022,
1276 73 8,Allocated,Belgacom International Carrier Services SA,4+6,14/10/2019,
1276 73 9,Free,,4+6,,
1276 74 0,Allocated,Gamma Telecom Holdings Limited,4+6,14/03/2022,
1276 74 1,Free,,4+6,,
1276 74 2,Free,,4+6,,
1276 74 3,Allocated,BT,4+6,27/06/2019,
1276 74 4,Protected,,4+6,,
1276 74 5,Free,,4+6,,
1276 74 6,Allocated,Colt Technology Services,4+6,13/05/2024,
1276 74 7,Protected,,4+6,,
1276 74 8,Allocated,Gamma Telecom Holdings Limited,4+6,16/12/2020,
1276 74 9,Allocated,Gamma Telecom Holdings Limited,4+6,24/06/2019,
1276 75 0,Allocated,DRD Communications Limited,4+6,05/10/2023,
1276 75 1,Protected,,4+6,,
1276 75 2,Protected,,4+6,,
1276 75 3,Protected,,4+6,,
1276 75 4,Protected,,4+6,,
1276 75 5,Protected,,4+6,,
1276 75 6,Protected,,4+6,,
1276 75 7,Protected,,4+6,,
1276 75 8,Protected,,4+6,,
1276 75 9,Protected,,4+6,,
1276 76,Allocated,Vodafone Ltd (C&W),4+6,17/11/2021,
1276 77 0,Allocated,Vodafone Ltd (C&W),4+6,10/11/2021,
1276 77 1,Protected,,4+6,,
1276 77 2,Protected,,4+6,,
1276 77 3,Protected,,4+6,,
1276 77 4,Protected,,4+6,,
1276 77 5,Protected,,4+6,,
1276 77 6,Protected,,4+6,,
1276 77 7,Protected,,4+6,,
1276 77 8,Protected,,4+6,,
1276 77 9,Allocated,Vodafone Ltd (C&W),4+6,10/11/2021,
1276 78 0,Allocated,VoiceHost Limited,4+6,09/12/2010,
1276 78 1,Allocated,Internexus Networks Limited,4+6,18/11/2011,
1276 78 2,Allocated,ICC Networks Ltd,4+6,13/04/2012,
1276 78 3,Allocated,Ziron Limited,4+6,30/07/2012,
1276 78 4,Protected,,4+6,,
1276 78 5,Allocated,TalkTalk Communications Limited,4+6,19/02/2013,
1276 78 6,Allocated,Simwood eSMS Limited,4+6,05/04/2013,
1276 78 7,Protected,,4+6,,
1276 78 8,Allocated,Invoco Ltd,4+6,20/09/2011,
1276 78 9,Allocated,Content Guru Limited,4+6,12/10/2012,
1276 79 0,Allocated,GTT-EMEA LTD,4+6,13/10/2021,
1276 79 1,Allocated,GTT-EMEA LTD,4+6,13/10/2021,
1276 79 2,Allocated,GTT-EMEA LTD,4+6,13/10/2021,
1276 79 3,Allocated,GTT-EMEA LTD,4+6,13/10/2021,
1276 79 4,Allocated,GTT-EMEA LTD,4+6,13/10/2021,
1276 79 5,Allocated,GTT-EMEA LTD,4+6,13/10/2021,
1276 79 6,Allocated,GTT-EMEA LTD,4+6,13/10/2021,
1276 79 7,Allocated,GTT-EMEA LTD,4+6,13/10/2021,
1276 79 8,Allocated,GTT-EMEA LTD,4+6,13/10/2021,
1276 79 9,Allocated,GTT-EMEA LTD,4+6,13/10/2021,
1276 80,Allocated,Vodafone Ltd (C&W),4+6,24/07/2013,
1276 81 0,Allocated,Magrathea Telecommunications Limited,4+6,16/11/2011,
1276 81 1,Allocated,Magrathea Telecommunications Limited,4+6,16/11/2011,
1276 81 2,Protected,,4+6,,
1276 81 3,Protected,,4+6,,
1276 81 4,Protected,,4+6,,
1276 81 5,Allocated,Magrathea Telecommunications Limited,4+6,16/11/2011,
1276 81 6,Allocated,Magrathea Telecommunications Limited,4+6,16/11/2011,
1276 81 7,Allocated,Magrathea Telecommunications Limited,4+6,16/11/2011,
1276 81 8,Allocated,Magrathea Telecommunications Limited,4+6,16/11/2011,
1276 81 9,Allocated,Magrathea Telecommunications Limited,4+6,16/11/2011,
1276 82,Allocated,TTNC Limited,4+6,25/11/2013,
1276 83 0,Protected,,4+6,,
1276 83 1,Protected,,4+6,,
1276 83 2,Protected,,4+6,,
1276 83 3,Allocated,Digital Space Group Limited,4+6,12/04/2016,
1276 83 4,Protected,,4+6,,
1276 83 5,Protected,,4+6,,
1276 83 6,Protected,,4+6,,
1276 83 7,Protected,,4+6,,
1276 83 8,Protected,,4+6,,
1276 83 9,Protected,,4+6,,
1276 84,Allocated,Citrus Telecommunications Ltd,4+6,11/04/2006,
1276 85,Allocated,BT,4+6,15/07/1994,
1276 86 0,Protected,,4+6,,
1276 86 1,Allocated,GCI Network Solutions Limited,4+6,22/12/2023,
1276 86 2,Allocated,GCI Network Solutions Limited,4+6,22/12/2023,
1276 86 3,Protected,,4+6,,
1276 86 4,Protected,,4+6,,
1276 86 5,Protected,,4+6,,
1276 86 6,Allocated,GCI Network Solutions Limited,4+6,22/12/2023,
1276 86 7,Allocated,GCI Network Solutions Limited,4+6,26/02/2024,
1276 86 8,Allocated,GCI Network Solutions Limited,4+6,22/12/2023,
1276 86 9,Protected,,4+6,,
1276 87 0,Protected,,4+6,,
1276 87 1,Protected,,4+6,,
1276 87 2,Protected,,4+6,,
1276 87 3,Protected,,4+6,,
1276 87 4,Protected,,4+6,,
1276 87 5,Protected,,4+6,,
1276 87 6,Protected,,4+6,,
1276 87 7,Protected,,4+6,,
1276 87 8,Protected,,4+6,,
1276 87 9,Protected,,4+6,,
1276 88 0,Allocated,Vodafone Ltd (C&W),4+6,24/07/2013,
1276 88 1,Protected,,4+6,,
1276 88 2,Protected,,4+6,,
1276 88 3,Protected,,4+6,,
1276 88 4,Protected,,4+6,,
1276 88 5,Protected,,4+6,,
1276 88 6,Protected,,4+6,,
1276 88 7,Allocated,Vodafone Ltd (C&W),4+6,24/07/2013,
1276 88 8,Allocated,Vodafone Ltd (C&W),4+6,24/07/2013,
1276 88 9,Allocated,Vodafone Ltd (C&W),4+6,24/07/2013,
1276 89,Allocated,BT,4+6,15/07/1994,
1276 90 0,Allocated,Net-Work Internet Ltd,4+6,11/10/2007,
1276 90 1,Allocated,(AQ) LIMITED,4+6,19/10/2011,
1276 90 2,Allocated,VoIP-Un Limited,4+6,26/10/2007,
1276 90 3,Allocated,Voiceflex Limited,4+6,27/07/2007,
1276 90 4,Protected,,4+6,,
1276 90 5,Allocated,Voxbone SA,4+6,17/12/2007,
1276 90 6,Allocated,Digital Space Group Limited,4+6,29/11/2007,
1276 90 7,Allocated,Digital Space Group Limited,4+6,15/03/2016,
1276 90 8,Allocated,Nodemax Limited,4+6,07/07/2008,
1276 90 9,Allocated,Telecom2 Limited,4+6,10/09/2009,
1276 91 0,Protected,,4+6,,
1276 91 1,Allocated,TalkTalk Communications Limited,4+6,13/02/2013,
1276 91 2,Protected,,4+6,,
1276 91 3,Protected,,4+6,,
1276 91 4,Allocated,Barritel Limited,4+6,08/10/2008,
1276 91 5,Protected,,4+6,,
1276 91 6,Allocated,Sky UK Limited,4+6,22/07/2016,
1276 91 7,Protected,,4+6,,
1276 91 8,Allocated,Telecoms World Limited,4+6,12/03/2009,
1276 91 9,Allocated,Inet Telecoms Ltd (Voipfone),4+6,27/02/2009,
1276 92,Protected,,4+6,,
1276 93 0,Allocated,YayYay Limited,4+6,24/04/2015,
1276 93 1,Allocated,Andrews & Arnold (Numbers) Ltd,4+6,27/02/2009,
1276 93 2,Allocated,TalkTalk Communications Limited,4+6,20/03/2009,
1276 93 3,Protected,,4+6,,
1276 93 4,Allocated,Invade International Ltd,4+6,12/01/2016,
1276 93 5,Allocated,Vectone Mobile Limited,4+6,29/06/2009,
1276 93 6,Allocated,Alnitak GmbH,4+6,26/10/2016,
1276 93 7,Allocated,TeleWare Group Limited,4+6,20/08/2009,
1276 93 8,Protected,,4+6,,
1276 93 9,Protected,,4+6,,
1276 94 0,Allocated,GCI Network Solutions Limited,4+6,13/12/2023,
1276 94 1,Allocated,Nuso Cloud UK Limited,4+6,12/01/2010,
1276 94 2,Allocated,Buzz Networks Limited,4+6,01/03/2010,
1276 94 3,Protected,,4+6,,
