NMS Number Block: Number Block,Block Status,CP Name,Geographic Number Length,Allocation Date,Notes
2155,Protected,,4+6,,
2156,Protected,,4+6,,
2157,Protected,,4+6,,
2158,Protected,,4+6,,
2159,Protected,,4+6,,
2160,Protected,,4+6,,
2161,Protected,,4+6,,
2162,Protected,,4+6,,
2163,Protected,,4+6,,
2164,Protected,,4+6,,
2165,Protected,,4+6,,
2166,Protected,,4+6,,
2167,Protected,,4+6,,
2168,Protected,,4+6,,
2169,Protected,,4+6,,
2170,Protected,,4+6,,
2171,Protected,,4+6,,
2172,Protected,,4+6,,
2173,Protected,,4+6,,
2174,Protected,,4+6,,
2175,Protected,,4+6,,
2176,Protected,,4+6,,
2177,Protected,,4+6,,
2178,Protected,,4+6,,
2179,Protected,,4+6,,
2180,Protected,,4+6,,
2181,Protected,,4+6,,
2182,Protected,,4+6,,
2183,Protected,,4+6,,
2184,Protected,,4+6,,
2185,Protected,,4+6,,
2186,Protected,,4+6,,
2187,Protected,,4+6,,
2188,Protected,,4+6,,
2189,Protected,,4+6,,
2190,Protected,,4+6,,
2191,Protected,,4+6,,
2192,Protected,,4+6,,
2193,Protected,,4+6,,
2194,Protected,,4+6,,
2195,Protected,,4+6,,
2196,Protected,,4+6,,
2197,Protected,,4+6,,
2198,Protected,,4+6,,
2199,Protected,,4+6,,
2200,Protected,,4+6,,
2201,Protected,,4+6,,
2202,Protected,,4+6,,
2203,Protected,,4+6,,
2204,Protected,,4+6,,
2205,Protected,,4+6,,
2206,Protected,,4+6,,
2207,Protected,,4+6,,
2208,Protected,,4+6,,
2209,Protected,,4+6,,
2210,Protected,,4+6,,
2211,Protected,,4+6,,
2212,Protected,,4+6,,
2213,Protected,,4+6,,
2214,Protected,,4+6,,
2215,Protected,,4+6,,
2216,Protected,,4+6,,
2217,Protected,,4+6,,
2218,Protected,,4+6,,
2219,Protected,,4+6,,
2220,Protected,,4+6,,
2221,Protected,,4+6,,
2222,Protected,,4+6,,
2223,Protected,,4+6,,
2224,Protected,,4+6,,
2225,Protected,,4+6,,
2226,Protected,,4+6,,
2227,Protected,,4+6,,
2228,Protected,,4+6,,
2229,Protected,,4+6,,
2230,Protected,,4+6,,
2231,Protected,,4+6,,
2232,Protected,,4+6,,
2233,Protected,,4+6,,
2234,Protected,,4+6,,
2235,Protected,,4+6,,
2236,Protected,,4+6,,
2237,Protected,,4+6,,
2238,Protected,,4+6,,
2239,Protected,,4+6,,
2240,Protected,,4+6,,
2241,Protected,,4+6,,
2242,Protected,,4+6,,
2243,Protected,,4+6,,
2244,Protected,,4+6,,
2245,Protected,,4+6,,
2246,Protected,,4+6,,
2247,Protected,,4+6,,
2248,Protected,,4+6,,
2249,Protected,,4+6,,
2250,Protected,,4+6,,
2251,Protected,,4+6,,
2252,Protected,,4+6,,
2253,Protected,,4+6,,
2254,Protected,,4+6,,
2255,Protected,,4+6,,
2256,Protected,,4+6,,
2257,Protected,,4+6,,
2258,Protected,,4+6,,
2259,Protected,,4+6,,
2260,Protected,,4+6,,
2261,Protected,,4+6,,
2262,Protected,,4+6,,
2263,Protected,,4+6,,
