NMS Number Block: Number Block,Block Status,CP Name,Non Geo Number Length,Allocation Date,Notes
3029,Protected,,10 digit numbers,,
3030 00,Protected,,10 digit numbers,,
3030 01,Allocated,BT,10 digit numbers,01/05/2025,
3030 02,Free,,10 digit numbers,,
3030 03,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,12/04/2007,
3030 04,Free,,10 digit numbers,,
3030 05,Free,,10 digit numbers,,
3030 06,Free,,10 digit numbers,,
3030 07,Free,,10 digit numbers,,
3030 08,Free,,10 digit numbers,,
3030 09,Free,,10 digit numbers,,
3030 10,Allocated,One Network Limited,10 digit numbers,17/05/2011,
3030 11,Free,,10 digit numbers,,
3030 12,Free,,10 digit numbers,,
3030 13,Free,,10 digit numbers,,
3030 14,Free,,10 digit numbers,,
3030 15,Free,,10 digit numbers,,
3030 16,Free,,10 digit numbers,,
3030 17,Free,,10 digit numbers,,
3030 18,Free,,10 digit numbers,,
3030 19,Free,,10 digit numbers,,
3030 20,Allocated,TelXL Limited,10 digit numbers,20/04/2007,
3030 21,Free,,10 digit numbers,,
3030 22,Free,,10 digit numbers,,
3030 23,Free,,10 digit numbers,,
3030 24,Free,,10 digit numbers,,
3030 25,Free,,10 digit numbers,,
3030 26,Free,,10 digit numbers,,
3030 27,Free,,10 digit numbers,,
3030 28,Free,,10 digit numbers,,
3030 29,Free,,10 digit numbers,,
3030 30,Allocated,Digital Space Group Limited,10 digit numbers,29/02/2016,
3030 31,Allocated,Telecom2 Limited,10 digit numbers,24/08/2009,
3030 32,Free,,10 digit numbers,,
3030 33,Allocated,Nextec UK Limited,10 digit numbers,26/11/2013,
3030 34,Free,,10 digit numbers,,
3030 35,Free,,10 digit numbers,,
3030 36,Free,,10 digit numbers,,
3030 37,Free,,10 digit numbers,,
3030 38,Free,,10 digit numbers,,
3030 39,Free,,10 digit numbers,,
3030 40,Allocated,Magrathea Telecommunications Limited,10 digit numbers,26/03/2007,
3030 41,Free,,10 digit numbers,,
3030 42,Free,,10 digit numbers,,
3030 43,Free,,10 digit numbers,,
3030 44,Free,,10 digit numbers,,
3030 45,Free,,10 digit numbers,,
3030 46,Free,,10 digit numbers,,
3030 47,Free,,10 digit numbers,,
3030 48,Free,,10 digit numbers,,
3030 49,Free,,10 digit numbers,,
3030 50,Allocated,Served Up Limited,10 digit numbers,20/10/2008,
3030 51,Free,,10 digit numbers,,
3030 52,Free,,10 digit numbers,,
3030 53,Free,,10 digit numbers,,
3030 54,Free,,10 digit numbers,,
3030 55,Free,,10 digit numbers,,
3030 56,Free,,10 digit numbers,,
3030 57,Free,,10 digit numbers,,
3030 58,Free,,10 digit numbers,,
3030 59,Free,,10 digit numbers,,
3030 60,Allocated,Accounts Centre Limited,10 digit numbers,16/07/2010,
3030 61,Free,,10 digit numbers,,
3030 62,Free,,10 digit numbers,,
3030 63,Free,,10 digit numbers,,
3030 64,Free,,10 digit numbers,,
3030 65,Free,,10 digit numbers,,
3030 66,Free,,10 digit numbers,,
3030 67,Free,,10 digit numbers,,
3030 68,Free,,10 digit numbers,,
3030 69,Free,,10 digit numbers,,
3030 70,Free,,10 digit numbers,,
3030 71,Free,,10 digit numbers,,
3030 72,Free,,10 digit numbers,,
3030 73,Free,,10 digit numbers,,
3030 74,Free,,10 digit numbers,,
3030 75,Free,,10 digit numbers,,
3030 76,Free,,10 digit numbers,,
3030 77,Free,,10 digit numbers,,
3030 78,Free,,10 digit numbers,,
3030 79,Free,,10 digit numbers,,
3030 80,Allocated,Colt Technology Services,10 digit numbers,17/08/2021,
3030 81,Allocated,Colt Technology Services,10 digit numbers,17/08/2021,
3030 82,Allocated,Colt Technology Services,10 digit numbers,17/08/2021,
3030 83,Allocated,Colt Technology Services,10 digit numbers,17/08/2021,
3030 84,Free,,10 digit numbers,,
3030 85,Free,,10 digit numbers,,
3030 86,Free,,10 digit numbers,,
3030 87,Free,,10 digit numbers,,
3030 88,Allocated,Telet Research (NI) Limited,10 digit numbers,09/11/2021,
3030 89,Free,,10 digit numbers,,
3030 90,Free,,10 digit numbers,,
3030 91,Free,,10 digit numbers,,
3030 92,Free,,10 digit numbers,,
3030 93,Free,,10 digit numbers,,
3030 94,Free,,10 digit numbers,,
3030 95,Free,,10 digit numbers,,
3030 96,Free,,10 digit numbers,,
3030 97,Free,,10 digit numbers,,
3030 98,Free,,10 digit numbers,,
3030 99,Free,,10 digit numbers,,
3031 00,Allocated,Nuso Cloud UK Limited,10 digit numbers,21/07/2008,
3031 01,Free,,10 digit numbers,,
3031 02,Free,,10 digit numbers,,
3031 03,Free,,10 digit numbers,,
3031 04,Free,,10 digit numbers,,
3031 05,Free,,10 digit numbers,,
3031 06,Free,,10 digit numbers,,
3031 07,Free,,10 digit numbers,,
3031 08,Free,,10 digit numbers,,
3031 09,Free,,10 digit numbers,,
3031 10,Free,,10 digit numbers,,
3031 11,Free,,10 digit numbers,,
3031 12,Free,,10 digit numbers,,
3031 13,Free,,10 digit numbers,,
3031 14,Free,,10 digit numbers,,
3031 15,Free,,10 digit numbers,,
3031 16,Free,,10 digit numbers,,
3031 17,Free,,10 digit numbers,,
3031 18,Free,,10 digit numbers,,
3031 19,Free,,10 digit numbers,,
3031 20,Free,,10 digit numbers,,
3031 21,Free,,10 digit numbers,,
3031 22,Free,,10 digit numbers,,
3031 23,Allocated,BT,10 digit numbers,11/04/2007,
3031 24,Free,,10 digit numbers,,
3031 25,Free,,10 digit numbers,,
3031 26,Free,,10 digit numbers,,
3031 27,Free,,10 digit numbers,,
3031 28,Free,,10 digit numbers,,
3031 29,Free,,10 digit numbers,,
3031 30,Free,,10 digit numbers,,
3031 31,Allocated,Mintaka Limited,10 digit numbers,30/12/2013,
3031 32,Protected,,10 digit numbers,,
3031 33,Free,,10 digit numbers,,
3031 34,Free,,10 digit numbers,,
3031 35,Free,,10 digit numbers,,
3031 36,Free,,10 digit numbers,,
3031 37,Free,,10 digit numbers,,
3031 38,Free,,10 digit numbers,,
3031 39,Free,,10 digit numbers,,
3031 40,Free,,10 digit numbers,,
3031 41,Allocated,Atomstream Limited,10 digit numbers,22/04/2010,
3031 42,Free,,10 digit numbers,,
3031 43,Free,,10 digit numbers,,
3031 44,Free,,10 digit numbers,,
3031 45,Free,,10 digit numbers,,
3031 46,Free,,10 digit numbers,,
3031 47,Free,,10 digit numbers,,
3031 48,Free,,10 digit numbers,,
3031 49,Free,,10 digit numbers,,
3031 50,Free,,10 digit numbers,,
3031 51,Free,,10 digit numbers,,
3031 52,Free,,10 digit numbers,,
3031 53,Free,,10 digit numbers,,
3031 54,Free,,10 digit numbers,,
3031 55,Free,,10 digit numbers,,
3031 56,Free,,10 digit numbers,,
3031 57,Free,,10 digit numbers,,
3031 58,Free,,10 digit numbers,,
3031 59,Free,,10 digit numbers,,
3031 60,Free,,10 digit numbers,,
3031 61,Free,,10 digit numbers,,
3031 62,Free,,10 digit numbers,,
3031 63,Free,,10 digit numbers,,
3031 64,Free,,10 digit numbers,,
3031 65,Free,,10 digit numbers,,
3031 66,Free,,10 digit numbers,,
3031 67,Free,,10 digit numbers,,
3031 68,Free,,10 digit numbers,,
3031 69,Free,,10 digit numbers,,
3031 70,Free,,10 digit numbers,,
3031 71,Free,,10 digit numbers,,
3031 72,Free,,10 digit numbers,,
3031 73,Free,,10 digit numbers,,
3031 74,Free,,10 digit numbers,,
3031 75,Free,,10 digit numbers,,
3031 76,Free,,10 digit numbers,,
3031 77,Free,,10 digit numbers,,
3031 78,Free,,10 digit numbers,,
3031 79,Free,,10 digit numbers,,
3031 80,Free,,10 digit numbers,,
3031 81,Free,,10 digit numbers,,
3031 82,Free,,10 digit numbers,,
3031 83,Free,,10 digit numbers,,
3031 84,Free,,10 digit numbers,,
3031 85,Free,,10 digit numbers,,
3031 86,Free,,10 digit numbers,,
3031 87,Free,,10 digit numbers,,
3031 88,Free,,10 digit numbers,,
3031 89,Free,,10 digit numbers,,
3031 90,Free,,10 digit numbers,,
3031 91,Free,,10 digit numbers,,
3031 92,Free,,10 digit numbers,,
3031 93,Free,,10 digit numbers,,
3031 94,Free,,10 digit numbers,,
3031 95,Free,,10 digit numbers,,
3031 96,Free,,10 digit numbers,,
3031 97,Free,,10 digit numbers,,
3031 98,Free,,10 digit numbers,,
3031 99,Free,,10 digit numbers,,
3032 00,Free,,10 digit numbers,,
3032 01,Protected,,10 digit numbers,,
3032 02,Free,,10 digit numbers,,
3032 03,Free,,10 digit numbers,,
3032 04,Free,,10 digit numbers,,
3032 05,Free,,10 digit numbers,,
3032 06,Free,,10 digit numbers,,
3032 07,Free,,10 digit numbers,,
3032 08,Free,,10 digit numbers,,
3032 09,Free,,10 digit numbers,,
3032 10,Free,,10 digit numbers,,
3032 11,Free,,10 digit numbers,,
3032 12,Free,,10 digit numbers,,
3032 13,Free,,10 digit numbers,,
3032 14,Free,,10 digit numbers,,
3032 15,Free,,10 digit numbers,,
3032 16,Free,,10 digit numbers,,
3032 17,Free,,10 digit numbers,,
3032 18,Free,,10 digit numbers,,
3032 19,Free,,10 digit numbers,,
3032 20,Free,,10 digit numbers,,
3032 21,Free,,10 digit numbers,,
3032 22,Allocated,Telecoms World Direct Limited,10 digit numbers,11/01/2011,
3032 23,Allocated,Fuse 2 Communications Ltd,10 digit numbers,16/10/2020,
3032 24,Free,,10 digit numbers,,
3032 25,Free,,10 digit numbers,,
3032 26,Free,,10 digit numbers,,
3032 27,Free,,10 digit numbers,,
3032 28,Free,,10 digit numbers,,
3032 29,Free,,10 digit numbers,,
3032 30,Free,,10 digit numbers,,
3032 31,Free,,10 digit numbers,,
3032 32,Allocated,Business Broadcast Communications Limited,10 digit numbers,16/10/2009,
3032 33,Free,,10 digit numbers,,
3032 34,Free,,10 digit numbers,,
3032 35,Free,,10 digit numbers,,
3032 36,Free,,10 digit numbers,,
3032 37,Free,,10 digit numbers,,
3032 38,Free,,10 digit numbers,,
3032 39,Free,,10 digit numbers,,
3032 40,Free,,10 digit numbers,,
3032 41,Free,,10 digit numbers,,
3032 42,Free,,10 digit numbers,,
3032 43,Free,,10 digit numbers,,
3032 44,Free,,10 digit numbers,,
3032 45,Free,,10 digit numbers,,
3032 46,Free,,10 digit numbers,,
3032 47,Free,,10 digit numbers,,
3032 48,Free,,10 digit numbers,,
3032 49,Free,,10 digit numbers,,
3032 50,Free,,10 digit numbers,,
3032 51,Free,,10 digit numbers,,
3032 52,Free,,10 digit numbers,,
3032 53,Free,,10 digit numbers,,
3032 54,Free,,10 digit numbers,,
3032 55,Free,,10 digit numbers,,
3032 56,Free,,10 digit numbers,,
3032 57,Free,,10 digit numbers,,
3032 58,Free,,10 digit numbers,,
3032 59,Free,,10 digit numbers,,
3032 60,Free,,10 digit numbers,,
3032 61,Free,,10 digit numbers,,
3032 62,Free,,10 digit numbers,,
3032 63,Free,,10 digit numbers,,
3032 64,Free,,10 digit numbers,,
3032 65,Free,,10 digit numbers,,
3032 66,Free,,10 digit numbers,,
3032 67,Free,,10 digit numbers,,
3032 68,Free,,10 digit numbers,,
3032 69,Free,,10 digit numbers,,
3032 70,Free,,10 digit numbers,,
3032 71,Free,,10 digit numbers,,
3032 72,Free,,10 digit numbers,,
3032 73,Free,,10 digit numbers,,
3032 74,Free,,10 digit numbers,,
3032 75,Free,,10 digit numbers,,
3032 76,Free,,10 digit numbers,,
3032 77,Free,,10 digit numbers,,
3032 78,Free,,10 digit numbers,,
3032 79,Free,,10 digit numbers,,
3032 80,Free,,10 digit numbers,,
3032 81,Free,,10 digit numbers,,
3032 82,Free,,10 digit numbers,,
3032 83,Free,,10 digit numbers,,
3032 84,Free,,10 digit numbers,,
3032 85,Free,,10 digit numbers,,
3032 86,Free,,10 digit numbers,,
3032 87,Free,,10 digit numbers,,
3032 88,Free,,10 digit numbers,,
3032 89,Free,,10 digit numbers,,
3032 90,Free,,10 digit numbers,,
3032 91,Free,,10 digit numbers,,
3032 92,Free,,10 digit numbers,,
3032 93,Free,,10 digit numbers,,
3032 94,Free,,10 digit numbers,,
3032 95,Free,,10 digit numbers,,
3032 96,Free,,10 digit numbers,,
3032 97,Free,,10 digit numbers,,
3032 98,Free,,10 digit numbers,,
3032 99,Free,,10 digit numbers,,
3033 00,Allocated,Nexus Telecommunications Limited,10 digit numbers,30/12/2008,
3033 01,Free,,10 digit numbers,,
3033 02,Free,,10 digit numbers,,
3033 03,Allocated,Windsor Telecom Limited,10 digit numbers,26/03/2007,
3033 04,Free,,10 digit numbers,,
3033 05,Free,,10 digit numbers,,
3033 06,Free,,10 digit numbers,,
3033 07,Free,,10 digit numbers,,
3033 08,Free,,10 digit numbers,,
3033 09,Free,,10 digit numbers,,
3033 10,Free,,10 digit numbers,,
3033 11,Free,,10 digit numbers,,
3033 12,Free,,10 digit numbers,,
3033 13,Allocated,Colt Technology Services,10 digit numbers,26/03/2007,
3033 14,Free,,10 digit numbers,,
3033 15,Free,,10 digit numbers,,
3033 16,Free,,10 digit numbers,,
3033 17,Free,,10 digit numbers,,
3033 18,Free,,10 digit numbers,,
3033 19,Free,,10 digit numbers,,
3033 20,Free,,10 digit numbers,,
3033 21,Free,,10 digit numbers,,
3033 22,Free,,10 digit numbers,,
3033 23,Free,,10 digit numbers,,
3033 24,Free,,10 digit numbers,,
3033 25,Free,,10 digit numbers,,
3033 26,Free,,10 digit numbers,,
3033 27,Free,,10 digit numbers,,
3033 28,Free,,10 digit numbers,,
3033 29,Free,,10 digit numbers,,
3033 30,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,20/02/2008,
3033 31,Free,,10 digit numbers,,
3033 32,Free,,10 digit numbers,,
3033 33,Allocated,Vodafone Ltd (C&W),10 digit numbers,22/11/2024,
3033 34,Allocated,X-on Health Limited,10 digit numbers,19/11/2009,
3033 35,Allocated,Internet of Things Limited,10 digit numbers,13/07/2021,
3033 36,Free,,10 digit numbers,,
3033 37,Free,,10 digit numbers,,
3033 38,Free,,10 digit numbers,,
3033 39,Free,,10 digit numbers,,
3033 40,Free,,10 digit numbers,,
3033 41,Free,,10 digit numbers,,
3033 42,Free,,10 digit numbers,,
3033 43,Free,,10 digit numbers,,
3033 44,Allocated,Suretec Systems Ltd,10 digit numbers,28/05/2010,
3033 45,Free,,10 digit numbers,,
3033 46,Free,,10 digit numbers,,
3033 47,Free,,10 digit numbers,,
3033 48,Free,,10 digit numbers,,
3033 49,Free,,10 digit numbers,,
3033 50,Free,,10 digit numbers,,
3033 51,Free,,10 digit numbers,,
3033 52,Free,,10 digit numbers,,
3033 53,Free,,10 digit numbers,,
3033 54,Free,,10 digit numbers,,
3033 55,Free,,10 digit numbers,,
3033 56,Free,,10 digit numbers,,
3033 57,Free,,10 digit numbers,,
3033 58,Free,,10 digit numbers,,
3033 59,Free,,10 digit numbers,,
3033 60,Free,,10 digit numbers,,
3033 61,Free,,10 digit numbers,,
3033 62,Free,,10 digit numbers,,
3033 63,Free,,10 digit numbers,,
3033 64,Free,,10 digit numbers,,
3033 65,Free,,10 digit numbers,,
3033 66,Allocated,GCI Network Solutions Limited,10 digit numbers,20/04/2017,
3033 67,Allocated,BT,10 digit numbers,05/12/2024,
3033 68,Allocated,BT,10 digit numbers,05/12/2024,
3033 69,Allocated,BT,10 digit numbers,05/12/2024,
3033 70,Allocated,BT,10 digit numbers,05/12/2024,
3033 71,Allocated,BT,10 digit numbers,05/12/2024,
3033 72,Allocated,BT,10 digit numbers,05/12/2024,
3033 73,Allocated,BT,10 digit numbers,05/12/2024,
3033 74,Allocated,BT,10 digit numbers,05/12/2024,
3033 75,Allocated,BT,10 digit numbers,05/12/2024,
3033 76,Allocated,BT,10 digit numbers,05/12/2024,
3033 77,Allocated,BT,10 digit numbers,05/12/2024,
3033 78,Allocated,BT,10 digit numbers,05/12/2024,
3033 79,Allocated,BT,10 digit numbers,05/12/2024,
3033 80,Allocated,BT,10 digit numbers,05/12/2024,
3033 81,Allocated,BT,10 digit numbers,05/12/2024,
3033 82,Allocated,BT,10 digit numbers,05/12/2024,
3033 83,Allocated,BT,10 digit numbers,05/12/2024,
3033 84,Allocated,BT,10 digit numbers,05/12/2024,
3033 85,Allocated,BT,10 digit numbers,05/12/2024,
3033 86,Allocated,BT,10 digit numbers,05/12/2024,
3033 87,Allocated,BT,10 digit numbers,05/12/2024,
3033 88,Allocated,BT,10 digit numbers,05/12/2024,
3033 89,Free,,10 digit numbers,,
3033 90,Free,,10 digit numbers,,
3033 91,Free,,10 digit numbers,,
3033 92,Free,,10 digit numbers,,
3033 93,Free,,10 digit numbers,,
3033 94,Free,,10 digit numbers,,
3033 95,Free,,10 digit numbers,,
3033 96,Free,,10 digit numbers,,
3033 97,Free,,10 digit numbers,,
3033 98,Free,,10 digit numbers,,
3033 99,Free,,10 digit numbers,,
3034 00,Free,,10 digit numbers,,
3034 01,Free,,10 digit numbers,,
3034 02,Free,,10 digit numbers,,
3034 03,Free,,10 digit numbers,,
3034 04,Free,,10 digit numbers,,
3034 05,Free,,10 digit numbers,,
3034 06,Free,,10 digit numbers,,
3034 07,Free,,10 digit numbers,,
3034 08,Free,,10 digit numbers,,
3034 09,Free,,10 digit numbers,,
3034 10,Free,,10 digit numbers,,
3034 11,Free,,10 digit numbers,,
3034 12,Free,,10 digit numbers,,
3034 13,Free,,10 digit numbers,,
3034 14,Free,,10 digit numbers,,
3034 15,Free,,10 digit numbers,,
3034 16,Free,,10 digit numbers,,
3034 17,Free,,10 digit numbers,,
3034 18,Free,,10 digit numbers,,
3034 19,Free,,10 digit numbers,,
3034 20,Free,,10 digit numbers,,
3034 21,Free,,10 digit numbers,,
3034 22,Free,,10 digit numbers,,
3034 23,Free,,10 digit numbers,,
3034 24,Free,,10 digit numbers,,
3034 25,Free,,10 digit numbers,,
3034 26,Free,,10 digit numbers,,
3034 27,Free,,10 digit numbers,,
3034 28,Free,,10 digit numbers,,
3034 29,Free,,10 digit numbers,,
3034 30,Free,,10 digit numbers,,
3034 31,Free,,10 digit numbers,,
3034 32,Free,,10 digit numbers,,
3034 33,Free,,10 digit numbers,,
3034 34,Free,,10 digit numbers,,
3034 35,Free,,10 digit numbers,,
3034 36,Free,,10 digit numbers,,
3034 37,Free,,10 digit numbers,,
3034 38,Free,,10 digit numbers,,
3034 39,Free,,10 digit numbers,,
3034 40,Free,,10 digit numbers,,
3034 41,Free,,10 digit numbers,,
3034 42,Free,,10 digit numbers,,
3034 43,Free,,10 digit numbers,,
3034 44,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,05/06/2009,
3034 45,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,05/06/2009,
3034 46,Free,,10 digit numbers,,
3034 47,Free,,10 digit numbers,,
3034 48,Free,,10 digit numbers,,
3034 49,Free,,10 digit numbers,,
3034 50,Free,,10 digit numbers,,
3034 51,Free,,10 digit numbers,,
3034 52,Free,,10 digit numbers,,
3034 53,Free,,10 digit numbers,,
3034 54,Free,,10 digit numbers,,
3034 55,Free,,10 digit numbers,,
3034 56,Allocated,BT,10 digit numbers,15/02/2016,
3034 57,Free,,10 digit numbers,,
3034 58,Free,,10 digit numbers,,
3034 59,Free,,10 digit numbers,,
3034 60,Free,,10 digit numbers,,
3034 61,Free,,10 digit numbers,,
3034 62,Free,,10 digit numbers,,
3034 63,Free,,10 digit numbers,,
3034 64,Free,,10 digit numbers,,
3034 65,Free,,10 digit numbers,,
3034 66,Free,,10 digit numbers,,
3034 67,Free,,10 digit numbers,,
3034 68,Free,,10 digit numbers,,
3034 69,Free,,10 digit numbers,,
3034 70,Free,,10 digit numbers,,
3034 71,Free,,10 digit numbers,,
3034 72,Free,,10 digit numbers,,
3034 73,Free,,10 digit numbers,,
3034 74,Free,,10 digit numbers,,
3034 75,Free,,10 digit numbers,,
3034 76,Free,,10 digit numbers,,
3034 77,Free,,10 digit numbers,,
3034 78,Free,,10 digit numbers,,
3034 79,Free,,10 digit numbers,,
3034 80,Free,,10 digit numbers,,
3034 81,Free,,10 digit numbers,,
3034 82,Free,,10 digit numbers,,
3034 83,Free,,10 digit numbers,,
3034 84,Free,,10 digit numbers,,
3034 85,Free,,10 digit numbers,,
3034 86,Free,,10 digit numbers,,
3034 87,Free,,10 digit numbers,,
3034 88,Free,,10 digit numbers,,
3034 89,Free,,10 digit numbers,,
3034 90,Free,,10 digit numbers,,
3034 91,Free,,10 digit numbers,,
3034 92,Free,,10 digit numbers,,
3034 93,Free,,10 digit numbers,,
3034 94,Free,,10 digit numbers,,
3034 95,Free,,10 digit numbers,,
3034 96,Free,,10 digit numbers,,
3034 97,Free,,10 digit numbers,,
3034 98,Free,,10 digit numbers,,
3034 99,Free,,10 digit numbers,,
3035 00,Free,,10 digit numbers,,
3035 01,Free,,10 digit numbers,,
3035 02,Free,,10 digit numbers,,
3035 03,Free,,10 digit numbers,,
3035 04,Free,,10 digit numbers,,
3035 05,Free,,10 digit numbers,,
3035 06,Free,,10 digit numbers,,
3035 07,Free,,10 digit numbers,,
3035 08,Free,,10 digit numbers,,
3035 09,Free,,10 digit numbers,,
3035 10,Free,,10 digit numbers,,
3035 11,Free,,10 digit numbers,,
3035 12,Free,,10 digit numbers,,
3035 13,Free,,10 digit numbers,,
3035 14,Free,,10 digit numbers,,
3035 15,Free,,10 digit numbers,,
3035 16,Free,,10 digit numbers,,
3035 17,Free,,10 digit numbers,,
3035 18,Free,,10 digit numbers,,
3035 19,Free,,10 digit numbers,,
3035 20,Free,,10 digit numbers,,
3035 21,Free,,10 digit numbers,,
3035 22,Free,,10 digit numbers,,
3035 23,Free,,10 digit numbers,,
3035 24,Free,,10 digit numbers,,
3035 25,Free,,10 digit numbers,,
3035 26,Free,,10 digit numbers,,
3035 27,Free,,10 digit numbers,,
3035 28,Free,,10 digit numbers,,
3035 29,Free,,10 digit numbers,,
3035 30,Free,,10 digit numbers,,
3035 31,Free,,10 digit numbers,,
3035 32,Free,,10 digit numbers,,
3035 33,Free,,10 digit numbers,,
3035 34,Free,,10 digit numbers,,
3035 35,Free,,10 digit numbers,,
3035 36,Free,,10 digit numbers,,
3035 37,Free,,10 digit numbers,,
3035 38,Free,,10 digit numbers,,
3035 39,Free,,10 digit numbers,,
3035 40,Free,,10 digit numbers,,
3035 41,Free,,10 digit numbers,,
3035 42,Free,,10 digit numbers,,
3035 43,Free,,10 digit numbers,,
3035 44,Free,,10 digit numbers,,
3035 45,Free,,10 digit numbers,,
3035 46,Free,,10 digit numbers,,
3035 47,Free,,10 digit numbers,,
3035 48,Free,,10 digit numbers,,
3035 49,Free,,10 digit numbers,,
3035 50,Free,,10 digit numbers,,
3035 51,Free,,10 digit numbers,,
3035 52,Free,,10 digit numbers,,
3035 53,Free,,10 digit numbers,,
3035 54,Free,,10 digit numbers,,
3035 55,Allocated,Telecoms World Direct Limited,10 digit numbers,25/06/2014,
3035 56,Free,,10 digit numbers,,
3035 57,Free,,10 digit numbers,,
3035 58,Free,,10 digit numbers,,
3035 59,Free,,10 digit numbers,,
3035 60,Free,,10 digit numbers,,
3035 61,Free,,10 digit numbers,,
3035 62,Free,,10 digit numbers,,
3035 63,Free,,10 digit numbers,,
3035 64,Free,,10 digit numbers,,
3035 65,Free,,10 digit numbers,,
3035 66,Free,,10 digit numbers,,
3035 67,Free,,10 digit numbers,,
3035 68,Free,,10 digit numbers,,
3035 69,Free,,10 digit numbers,,
3035 70,Free,,10 digit numbers,,
3035 71,Free,,10 digit numbers,,
3035 72,Free,,10 digit numbers,,
3035 73,Free,,10 digit numbers,,
3035 74,Free,,10 digit numbers,,
3035 75,Free,,10 digit numbers,,
3035 76,Free,,10 digit numbers,,
3035 77,Free,,10 digit numbers,,
3035 78,Free,,10 digit numbers,,
3035 79,Free,,10 digit numbers,,
3035 80,Free,,10 digit numbers,,
3035 81,Free,,10 digit numbers,,
3035 82,Free,,10 digit numbers,,
3035 83,Free,,10 digit numbers,,
3035 84,Free,,10 digit numbers,,
3035 85,Free,,10 digit numbers,,
3035 86,Free,,10 digit numbers,,
3035 87,Free,,10 digit numbers,,
3035 88,Free,,10 digit numbers,,
3035 89,Free,,10 digit numbers,,
3035 90,Free,,10 digit numbers,,
3035 91,Free,,10 digit numbers,,
3035 92,Free,,10 digit numbers,,
3035 93,Free,,10 digit numbers,,
3035 94,Free,,10 digit numbers,,
3035 95,Free,,10 digit numbers,,
3035 96,Free,,10 digit numbers,,
3035 97,Free,,10 digit numbers,,
3035 98,Free,,10 digit numbers,,
3035 99,Free,,10 digit numbers,,
3036 00,Free,,10 digit numbers,,
3036 01,Free,,10 digit numbers,,
3036 02,Free,,10 digit numbers,,
3036 03,Free,,10 digit numbers,,
3036 04,Free,,10 digit numbers,,
3036 05,Free,,10 digit numbers,,
3036 06,Free,,10 digit numbers,,
3036 07,Free,,10 digit numbers,,
3036 08,Free,,10 digit numbers,,
3036 09,Free,,10 digit numbers,,
3036 10,Free,,10 digit numbers,,
3036 11,Free,,10 digit numbers,,
3036 12,Free,,10 digit numbers,,
3036 13,Free,,10 digit numbers,,
3036 14,Free,,10 digit numbers,,
3036 15,Free,,10 digit numbers,,
3036 16,Free,,10 digit numbers,,
3036 17,Free,,10 digit numbers,,
3036 18,Free,,10 digit numbers,,
3036 19,Free,,10 digit numbers,,
3036 20,Free,,10 digit numbers,,
3036 21,Free,,10 digit numbers,,
3036 22,Free,,10 digit numbers,,
3036 23,Free,,10 digit numbers,,
3036 24,Free,,10 digit numbers,,
3036 25,Free,,10 digit numbers,,
3036 26,Free,,10 digit numbers,,
3036 27,Free,,10 digit numbers,,
3036 28,Free,,10 digit numbers,,
3036 29,Free,,10 digit numbers,,
3036 30,Free,,10 digit numbers,,
3036 31,Free,,10 digit numbers,,
3036 32,Free,,10 digit numbers,,
3036 33,Free,,10 digit numbers,,
3036 34,Free,,10 digit numbers,,
3036 35,Free,,10 digit numbers,,
3036 36,Free,,10 digit numbers,,
3036 37,Free,,10 digit numbers,,
3036 38,Free,,10 digit numbers,,
3036 39,Free,,10 digit numbers,,
3036 40,Free,,10 digit numbers,,
3036 41,Free,,10 digit numbers,,
3036 42,Free,,10 digit numbers,,
3036 43,Free,,10 digit numbers,,
3036 44,Free,,10 digit numbers,,
3036 45,Free,,10 digit numbers,,
3036 46,Free,,10 digit numbers,,
3036 47,Free,,10 digit numbers,,
3036 48,Free,,10 digit numbers,,
3036 49,Free,,10 digit numbers,,
3036 50,Free,,10 digit numbers,,
3036 51,Free,,10 digit numbers,,
3036 52,Free,,10 digit numbers,,
3036 53,Free,,10 digit numbers,,
3036 54,Free,,10 digit numbers,,
3036 55,Free,,10 digit numbers,,
3036 56,Free,,10 digit numbers,,
3036 57,Free,,10 digit numbers,,
3036 58,Free,,10 digit numbers,,
3036 59,Free,,10 digit numbers,,
3036 60,Free,,10 digit numbers,,
3036 61,Free,,10 digit numbers,,
3036 62,Free,,10 digit numbers,,
3036 63,Free,,10 digit numbers,,
3036 64,Free,,10 digit numbers,,
3036 65,Free,,10 digit numbers,,
3036 66,Allocated,GCI Network Solutions Limited,10 digit numbers,20/04/2017,
3036 67,Free,,10 digit numbers,,
3036 68,Free,,10 digit numbers,,
3036 69,Free,,10 digit numbers,,
3036 70,Free,,10 digit numbers,,
3036 71,Free,,10 digit numbers,,
3036 72,Free,,10 digit numbers,,
3036 73,Free,,10 digit numbers,,
3036 74,Free,,10 digit numbers,,
3036 75,Free,,10 digit numbers,,
3036 76,Free,,10 digit numbers,,
3036 77,Free,,10 digit numbers,,
3036 78,Free,,10 digit numbers,,
3036 79,Free,,10 digit numbers,,
3036 80,Free,,10 digit numbers,,
3036 81,Free,,10 digit numbers,,
3036 82,Free,,10 digit numbers,,
3036 83,Free,,10 digit numbers,,
3036 84,Free,,10 digit numbers,,
3036 85,Free,,10 digit numbers,,
3036 86,Free,,10 digit numbers,,
