NMS Number Block: Number Block,Block Status,CP Name,Non Geo Number Length,Allocation Date,Notes
3000 82,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,21/10/2021,
3000 83,Allocated,Virgin Media Limited,10 digit numbers,07/09/2007,
3000 84,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,26/09/2017,
3000 85,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,18/11/2016,
3000 86,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,21/10/2021,
3000 87,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,21/10/2021,
3000 88,Protected,,10 digit numbers,,
3000 89,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,21/10/2021,
3000 90,Protected,,10 digit numbers,,
3000 91,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,21/10/2021,
3000 92,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,21/10/2021,
3000 93,Free,,10 digit numbers,,
3000 94,Free,,10 digit numbers,,
3000 95,Allocated,Internet of Things Limited,10 digit numbers,13/07/2021,
3000 96,Free,,10 digit numbers,,
3000 97,Free,,10 digit numbers,,
3000 98,Free,,10 digit numbers,,
3000 99,Allocated,Windsor Telecom Limited,10 digit numbers,30/03/2011,
3001 00,Allocated,Vodafone Ltd (C&W),10 digit numbers,01/11/2024,
3001 01,Allocated,VoIP-Un Limited,10 digit numbers,09/11/2007,
3001 02,Allocated,Core Telecom Limited,10 digit numbers,25/11/2011,
3001 03,Allocated,Wifinity Limited,10 digit numbers,10/07/2009,
3001 04,Allocated,Lumen Technologies UK Limited,10 digit numbers,30/07/2019,
3001 05,Allocated,Lumen Technologies UK Limited,10 digit numbers,30/07/2019,
3001 06,Allocated,Lumen Technologies UK Limited,10 digit numbers,30/07/2019,
3001 07,Free,,10 digit numbers,,
3001 08,Free,,10 digit numbers,,
3001 09,Free,,10 digit numbers,,
3001 10,Allocated,Voiceflex Limited,10 digit numbers,01/08/2008,
3001 11,Allocated,Admiral Telecom Limited,10 digit numbers,11/04/2007,
3001 12,Allocated,Andrews & Arnold (Numbers) Ltd,10 digit numbers,20/05/2010,
3001 13,Protected,,10 digit numbers,,
3001 14,Free,,10 digit numbers,,
3001 15,Free,,10 digit numbers,,
3001 16,Free,,10 digit numbers,,
3001 17,Free,,10 digit numbers,,
3001 18,Allocated,Subtopia Limited,10 digit numbers,08/04/2021,
3001 19,Free,,10 digit numbers,,
3001 20,Free,,10 digit numbers,,
3001 21,Allocated,FleXtel Limited,10 digit numbers,26/03/2007,
3001 22,Allocated,GCI Network Solutions Limited,10 digit numbers,20/12/2023,
3001 23,Allocated,BT,10 digit numbers,26/03/2007,
3001 24,Allocated,BT,10 digit numbers,17/05/2013,
3001 25,Allocated,Node4 Ltd,10 digit numbers,30/05/2018,
3001 26,Allocated,GCI Network Solutions Limited,10 digit numbers,20/12/2023,
3001 27,Free,,10 digit numbers,,
3001 28,Free,,10 digit numbers,,
3001 29,Free,,10 digit numbers,,
3001 30,Allocated,Verizon UK Limited,10 digit numbers,26/03/2007,
3001 31,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,19/03/2015,
3001 32,Free,,10 digit numbers,,
3001 33,Allocated,Atlantic Communications Corp Ltd,10 digit numbers,18/11/2013,
3001 34,Free,,10 digit numbers,,
3001 35,Free,,10 digit numbers,,
3001 36,Free,,10 digit numbers,,
3001 37,Free,,10 digit numbers,,
3001 38,Free,,10 digit numbers,,
3001 39,Free,,10 digit numbers,,
3001 40,Allocated,Colt Technology Services,10 digit numbers,25/07/2018,
3001 41,Free,,10 digit numbers,,
3001 42,Free,,10 digit numbers,,
3001 43,Free,,10 digit numbers,,
3001 44,Free,,10 digit numbers,,
3001 45,Free,,10 digit numbers,,
3001 46,Free,,10 digit numbers,,
3001 47,Free,,10 digit numbers,,
3001 48,Free,,10 digit numbers,,
3001 49,Free,,10 digit numbers,,
3001 50,Allocated,TelecomIQ Limited,10 digit numbers,13/05/2020,
3001 51,Allocated,BT,10 digit numbers,05/03/2019,
3001 52,Allocated,BT,10 digit numbers,05/03/2019,
3001 53,Allocated,BT,10 digit numbers,05/03/2019,
3001 54,Allocated,BT,10 digit numbers,05/03/2019,
3001 55,Allocated,BT,10 digit numbers,05/03/2019,
3001 56,Allocated,BT,10 digit numbers,05/03/2019,
3001 57,Allocated,BT,10 digit numbers,05/03/2019,
3001 58,Allocated,BT,10 digit numbers,05/03/2019,
3001 59,Allocated,BT,10 digit numbers,05/03/2019,
3001 60,Allocated,BT,10 digit numbers,05/03/2019,
3001 61,Allocated,BT,10 digit numbers,05/03/2019,
3001 62,Allocated,BT,10 digit numbers,05/03/2019,
3001 63,Allocated,BT,10 digit numbers,05/03/2019,
3001 64,Allocated,BT,10 digit numbers,05/03/2019,
3001 65,Allocated,BT,10 digit numbers,05/03/2019,
3001 66,Allocated,BT,10 digit numbers,05/03/2019,
3001 67,Allocated,BT,10 digit numbers,05/03/2019,
3001 68,Allocated,BT,10 digit numbers,05/03/2019,
3001 69,Allocated,BT,10 digit numbers,05/03/2019,
3001 70,Allocated,BT,10 digit numbers,05/03/2019,
3001 71,Free,,10 digit numbers,,
3001 72,Free,,10 digit numbers,,
3001 73,Free,,10 digit numbers,,
3001 74,Free,,10 digit numbers,,
3001 75,Free,,10 digit numbers,,
3001 76,Free,,10 digit numbers,,
3001 77,Free,,10 digit numbers,,
3001 78,Free,,10 digit numbers,,
3001 79,Free,,10 digit numbers,,
3001 80,Allocated,Colt Technology Services,10 digit numbers,14/12/2021,
3001 81,Allocated,Colt Technology Services,10 digit numbers,14/12/2021,
3001 82,Allocated,Colt Technology Services,10 digit numbers,14/12/2021,
3001 83,Allocated,Colt Technology Services,10 digit numbers,14/12/2021,
3001 84,Allocated,Colt Technology Services,10 digit numbers,14/12/2021,
3001 85,Allocated,Colt Technology Services,10 digit numbers,14/12/2021,
3001 86,Allocated,Colt Technology Services,10 digit numbers,14/12/2021,
3001 87,Allocated,Colt Technology Services,10 digit numbers,14/12/2021,
3001 88,Allocated,Colt Technology Services,10 digit numbers,14/12/2021,
3001 89,Allocated,Colt Technology Services,10 digit numbers,14/12/2021,
3001 90,Allocated,Colt Technology Services,10 digit numbers,27/01/2022,
3001 91,Allocated,Colt Technology Services,10 digit numbers,27/01/2022,
3001 92,Free,,10 digit numbers,,
3001 93,Free,,10 digit numbers,,
3001 94,Free,,10 digit numbers,,
3001 95,Free,,10 digit numbers,,
3001 96,Free,,10 digit numbers,,
3001 97,Free,,10 digit numbers,,
3001 98,Free,,10 digit numbers,,
3001 99,Allocated,Telecoms World Direct Limited,10 digit numbers,11/01/2011,
3002 00,Allocated,Vodafone Ltd (C&W),10 digit numbers,16/09/2013,
3002 01,Allocated,Citrus Telecommunications Ltd,10 digit numbers,09/07/2007,
3002 02,Allocated,GCI Network Solutions Limited,10 digit numbers,26/02/2024,
3002 03,Free,,10 digit numbers,,
3002 04,Free,,10 digit numbers,,
3002 05,Free,,10 digit numbers,,
3002 06,Free,,10 digit numbers,,
3002 07,Free,,10 digit numbers,,
3002 08,Free,,10 digit numbers,,
3002 09,Free,,10 digit numbers,,
3002 10,Free,,10 digit numbers,,
3002 11,Free,,10 digit numbers,,
3002 12,Free,,10 digit numbers,,
3002 13,Free,,10 digit numbers,,
3002 14,Free,,10 digit numbers,,
3002 15,Allocated,Lumen Technologies UK Limited,10 digit numbers,03/06/2010,
3002 16,Free,,10 digit numbers,,
3002 17,Free,,10 digit numbers,,
3002 18,Free,,10 digit numbers,,
3002 19,Free,,10 digit numbers,,
3002 20,Allocated,Group 3 Technology Limited,10 digit numbers,14/04/2011,
3002 21,Free,,10 digit numbers,,
3002 22,Allocated,GCI Network Solutions Limited,10 digit numbers,20/12/2023,
3002 23,Free,,10 digit numbers,,
3002 24,Free,,10 digit numbers,,
3002 25,Free,,10 digit numbers,,
3002 26,Free,,10 digit numbers,,
3002 27,Free,,10 digit numbers,,
3002 28,Free,,10 digit numbers,,
3002 29,Free,,10 digit numbers,,
3002 30,Free,,10 digit numbers,,
3002 31,Free,,10 digit numbers,,
3002 32,Free,,10 digit numbers,,
3002 33,Free,,10 digit numbers,,
3002 34,Allocated,Talk Numbers Ltd,10 digit numbers,08/06/2010,
3002 35,Free,,10 digit numbers,,
3002 36,Free,,10 digit numbers,,
3002 37,Free,,10 digit numbers,,
3002 38,Free,,10 digit numbers,,
3002 39,Free,,10 digit numbers,,
3002 40,Free,,10 digit numbers,,
3002 41,Free,,10 digit numbers,,
3002 42,Free,,10 digit numbers,,
3002 43,Free,,10 digit numbers,,
3002 44,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,18/07/2023,
3002 45,Free,,10 digit numbers,,
3002 46,Allocated,Voicetec Systems Ltd,10 digit numbers,13/09/2011,
3002 47,Allocated,Redcentric Solutions Limited,10 digit numbers,26/05/2016,
3002 48,Free,,10 digit numbers,,
3002 49,Free,,10 digit numbers,,
3002 50,Free,,10 digit numbers,,
3002 51,Free,,10 digit numbers,,
3002 52,Free,,10 digit numbers,,
3002 53,Free,,10 digit numbers,,
