NMS Number Block: Number Block,Block Status,CP Name,Non Geo Number Length,Allocation Date,Notes
5588 85,Protected,,10 digit numbers,,
5588 86,Protected,,10 digit numbers,,
5588 87,Protected,,10 digit numbers,,
5588 88,Allocated,Dynamic Mobile Billing Limited,10 digit numbers,10/11/2009,
5588 89,Protected,,10 digit numbers,,
5588 90,Protected,,10 digit numbers,,
5588 91,Protected,,10 digit numbers,,
5588 92,Protected,,10 digit numbers,,
5588 93,Protected,,10 digit numbers,,
5588 94,Protected,,10 digit numbers,,
5588 95,Protected,,10 digit numbers,,
5588 96,Protected,,10 digit numbers,,
5588 97,Protected,,10 digit numbers,,
5588 98,Protected,,10 digit numbers,,
5588 99,Protected,,10 digit numbers,,
5600 00,Allocated,Magrathea Telecommunications Limited,10 digit numbers,27/09/2004,
5600 01,Allocated,Magrathea Telecommunications Limited,10 digit numbers,27/09/2004,
5600 02,Allocated,Magrathea Telecommunications Limited,10 digit numbers,27/09/2004,
5600 03,Allocated,Magrathea Telecommunications Limited,10 digit numbers,27/09/2004,
5600 04,Allocated,Magrathea Telecommunications Limited,10 digit numbers,27/09/2004,
5600 05,Allocated,Group 3 Technology Limited,10 digit numbers,13/07/2011,
5600 06,Allocated,Barritel Limited,10 digit numbers,08/10/2004,
5600 07,Protected,,10 digit numbers,,
5600 08,Allocated,Numbers Plus Ltd,10 digit numbers,28/07/2011,
5600 09,Protected,,10 digit numbers,,
5600 10,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,25/03/2014,
5600 11,Allocated,FleXtel Limited,10 digit numbers,27/09/2004,
5600 12,Protected,,10 digit numbers,,
5600 13,Protected,,10 digit numbers,,
5600 14,Protected,,10 digit numbers,,
5600 15,Allocated,BT,10 digit numbers,14/08/2007,
5600 16,Allocated,Icron Network Limited,10 digit numbers,07/08/2006,
5600 17,Protected,,10 digit numbers,,
5600 18,Protected,,10 digit numbers,,
5600 19,Allocated,BT,10 digit numbers,14/08/2007,
5600 20,Allocated,Mobiweb Telecom Limited,10 digit numbers,09/03/2015,
5600 21,Protected,,10 digit numbers,,
5600 22,Allocated,FleXtel Limited,10 digit numbers,27/09/2004,
5600 23,Allocated,Magrathea Telecommunications Limited,10 digit numbers,22/02/2017,
5600 24,Allocated,24 Seven Communications Limited,10 digit numbers,10/06/2008,
5600 25,Allocated,BT,10 digit numbers,05/07/2007,
5600 26,Protected,,10 digit numbers,,
5600 27,Allocated,BT,10 digit numbers,05/07/2007,
5600 28,Allocated,BT,10 digit numbers,05/07/2007,
5600 29,Protected,,10 digit numbers,,
5600 30,Allocated,Nexus Telecommunications Limited,10 digit numbers,18/07/2005,
5600 31,Protected,,10 digit numbers,,
5600 32,Protected,,10 digit numbers,,
5600 33,Allocated,FleXtel Limited,10 digit numbers,27/09/2004,
5600 34,Allocated,BT,10 digit numbers,05/07/2007,
5600 35,Allocated,Nationwide Telephone Assistance Ltd,10 digit numbers,02/09/2005,
5600 36,Allocated,Square Systems Limited,10 digit numbers,07/09/2006,
5600 37,Allocated,BT,10 digit numbers,05/07/2007,
5600 38,Allocated,Vodafone Ltd (C&W),10 digit numbers,10/10/2013,
5600 39,Quarantined,,10 digit numbers,,
5600 40,Protected,,10 digit numbers,,
5600 41,Protected,,10 digit numbers,,
5600 42,Protected,,10 digit numbers,,
5600 43,Allocated,BT,10 digit numbers,25/10/2004,
5600 44,Protected,,10 digit numbers,,
5600 45,Allocated,Vodafone Ltd (C&W),10 digit numbers,10/10/2013,
5600 46,Allocated,BT,10 digit numbers,25/10/2004,
5600 47,Allocated,BT,10 digit numbers,25/10/2004,
5600 48,Allocated,BT,10 digit numbers,25/10/2004,
5600 49,Allocated,BT,10 digit numbers,25/10/2004,
5600 50,Allocated,Atomstream Limited,10 digit numbers,01/04/2011,
5600 51,Allocated,Suretec Systems Ltd,10 digit numbers,29/04/2010,
5600 52,Protected,,10 digit numbers,,
5600 53,Allocated,BT,10 digit numbers,05/07/2007,
5600 54,Protected,,10 digit numbers,,
5600 55,Allocated,Lanonyx Telecom Limited,10 digit numbers,13/04/2015,
5600 56,Allocated,Invade International Ltd,10 digit numbers,13/01/2016,
5600 57,Allocated,Colt Technology Services,10 digit numbers,07/10/2004,
5600 58,Allocated,BT,10 digit numbers,05/07/2007,
5600 59,Free,,10 digit numbers,,
5600 60,Allocated,Citrus Telecommunications Ltd,10 digit numbers,26/11/2010,
5600 61,Allocated,MANX TELECOM TRADING LIMITED,10 digit numbers,08/02/2017,
5600 62,Allocated,DRD Communications Limited,10 digit numbers,12/10/2004,
5600 63,Protected,,10 digit numbers,,
5600 64,Protected,,10 digit numbers,,
5600 65,Allocated,Magrathea Telecommunications Limited,10 digit numbers,27/09/2004,
5600 66,Allocated,Barritel Limited,10 digit numbers,08/10/2004,
5600 67,Allocated,Pulsant (Scotland) Limited,10 digit numbers,17/02/2009,
5600 68,Allocated,BT,10 digit numbers,05/07/2007,
5600 69,Protected,,10 digit numbers,,
5600 70,Allocated,BT,10 digit numbers,08/10/2004,
5600 71,Allocated,BT,10 digit numbers,28/07/2005,
5600 72,Allocated,BT,10 digit numbers,28/07/2005,
5600 73,Allocated,BT,10 digit numbers,28/07/2005,
5600 74,Allocated,BT,10 digit numbers,28/07/2005,
5600 75,Allocated,BT,10 digit numbers,28/07/2005,
5600 76,Allocated,BT,10 digit numbers,28/07/2005,
5600 77,Allocated,FleXtel Limited,10 digit numbers,28/09/2004,
5600 78,Allocated,FleXtel Limited,10 digit numbers,28/09/2004,
5600 79,Allocated,BT,10 digit numbers,05/07/2007,
5600 80,Allocated,BT,10 digit numbers,08/10/2004,
5600 81,Allocated,MANX TELECOM TRADING LIMITED,10 digit numbers,08/02/2017,
5600 82,Allocated,MANX TELECOM TRADING LIMITED,10 digit numbers,08/02/2017,
5600 83,Allocated,BT,10 digit numbers,05/07/2007,
5600 84,Allocated,42 Telecom UK Limited,10 digit numbers,11/07/2011,
5600 85,Allocated,BT,10 digit numbers,14/08/2007,
5600 86,Allocated,Icron Network Limited,10 digit numbers,07/08/2006,
5600 87,Allocated,BT,10 digit numbers,14/08/2007,
5600 88,Allocated,Callmonitor Limited,10 digit numbers,27/09/2004,
5600 89,Allocated,BT,10 digit numbers,14/08/2007,
5600 90,Allocated,AQL Wholesale Ltd,10 digit numbers,20/10/2004,
5600 91,Allocated,AQL Wholesale Ltd,10 digit numbers,20/10/2004,
5600 92,Allocated,BT,10 digit numbers,14/08/2007,
5600 93,Allocated,BT,10 digit numbers,14/08/2007,
5600 94,Allocated,BT,10 digit numbers,14/08/2007,
5600 95,Allocated,TalkTalk Communications Limited,10 digit numbers,07/02/2005,
5600 96,Protected,,10 digit numbers,,
5600 97,Protected,,10 digit numbers,,
5600 98,Allocated,BT,10 digit numbers,14/08/2007,
5600 99,Allocated,Gamma Telecom Holdings Limited,10 digit numbers,15/12/2004,
5601 00,Protected,,10 digit numbers,,
5601 01,Allocated,Six Degrees Technology Group Limited,10 digit numbers,02/04/2020,
5601 02,Allocated,Sala Trading Ltd,10 digit numbers,28/02/2006,
5601 03,Allocated,Magrathea Telecommunications Limited,10 digit numbers,26/01/2007,
5601 04,Allocated,Magrathea Telecommunications Limited,10 digit numbers,26/01/2007,
5601 05,Allocated,Magrathea Telecommunications Limited,10 digit numbers,26/01/2007,
5601 06,Allocated,Magrathea Telecommunications Limited,10 digit numbers,26/01/2007,
5601 07,Allocated,BT,10 digit numbers,14/08/2007,
5601 08,Allocated,(AQ) LIMITED,10 digit numbers,04/10/2012,
5601 09,Allocated,Orange Business Holdings UK Limited,10 digit numbers,27/12/2012,
5601 10,Protected,,10 digit numbers,,
5601 11,Allocated,Andrews & Arnold Ltd,10 digit numbers,10/10/2006,
5601 12,Allocated,BT,10 digit numbers,29/11/2006,
5601 13,Allocated,BT,10 digit numbers,29/11/2006,
5601 14,Allocated,BT,10 digit numbers,29/11/2006,
5601 15,Allocated,BT,10 digit numbers,10/11/2005,
5601 16,Allocated,BT,10 digit numbers,10/11/2005,
5601 17,Allocated,BT,10 digit numbers,10/11/2005,
5601 18,Allocated,BT,10 digit numbers,10/11/2005,
5601 19,Allocated,BT,10 digit numbers,10/11/2005,
5601 20,Allocated,I.T Communications Limited,10 digit numbers,23/05/2016,
5601 21,Allocated,Magrathea Telecommunications Limited,10 digit numbers,11/02/2022,
5601 22,Free,,10 digit numbers,,
5601 23,Free,,10 digit numbers,,
5601 24,Free,,10 digit numbers,,
5601 25,Allocated,BT,10 digit numbers,29/11/2006,
5601 26,Allocated,BT,10 digit numbers,29/11/2006,
5601 27,Allocated,BT,10 digit numbers,29/11/2006,
5601 28,Allocated,Vodafone Ltd (C&W),10 digit numbers,01/11/2024,
5601 29,Allocated,BT,10 digit numbers,29/11/2006,
5601 30,Allocated,BT,10 digit numbers,29/12/2005,
5601 31,Allocated,BT,10 digit numbers,29/12/2005,
5601 32,Allocated,BT,10 digit numbers,29/12/2005,
5601 33,Allocated,BT,10 digit numbers,29/12/2005,
5601 34,Allocated,BT,10 digit numbers,29/12/2005,
5601 35,Allocated,BT,10 digit numbers,29/12/2005,
5601 36,Allocated,BT,10 digit numbers,29/12/2005,
5601 37,Allocated,BT,10 digit numbers,29/12/2005,
5601 38,Allocated,BT,10 digit numbers,29/12/2005,
5601 39,Allocated,BT,10 digit numbers,29/12/2005,
5601 40,Allocated,BT,10 digit numbers,29/12/2005,
5601 41,Allocated,BT,10 digit numbers,29/12/2005,
5601 42,Allocated,BT,10 digit numbers,29/12/2005,
5601 43,Allocated,BT,10 digit numbers,29/12/2005,
5601 44,Allocated,BT,10 digit numbers,29/12/2005,
5601 45,Allocated,BT,10 digit numbers,29/12/2005,
5601 46,Allocated,BT,10 digit numbers,29/12/2005,
5601 47,Allocated,BT,10 digit numbers,29/12/2005,
5601 48,Allocated,BT,10 digit numbers,29/12/2005,
5601 49,Allocated,BT,10 digit numbers,29/12/2005,
5601 50,Allocated,BT,10 digit numbers,29/11/2006,
5601 51,Free,,10 digit numbers,,
5601 52,Allocated,BT,10 digit numbers,29/11/2006,
5601 53,Allocated,BT,10 digit numbers,29/11/2006,
5601 54,Allocated,BT,10 digit numbers,29/11/2006,
